group	x	y
6668	-1293796800	17.3
6668	-1291118400	18.8
6668	-1288699200	19
6668	-1286020800	17.7
6668	-1283428800	16.2
6668	-1280750400	15.1
6668	-1278158400	14.7
6668	-1275480000	14.6
6668	-1272801600	15.7
6668	-1270209600	17.1
6668	-1267531200	16.6
6668	-1264939200	16.5
6668	-1262260800	17.2
6668	-1259582400	17.1
6668	-1257163200	17.1
6668	-1254484800	16.1
6668	-1251892800	16.1
6668	-1249214400	14.7
6668	-1246622400	14.4
6668	-1243944000	14.7
6668	-1241265600	16.3
6668	-1238673600	16.8
6668	-1235995200	16.3
6668	-1233403200	16.4
6668	-1230724800	17.5
6668	-1228046400	18.6
6668	-1225627200	18.3
6668	-1222948800	17.8
6668	-1220356800	16.9
6668	-1217678400	15.6
6668	-1215086400	15.5
6668	-1212408000	15.2
6668	-1209729600	16.2
6668	-1207137600	17.6
6668	-1204459200	17.1
6668	-1201867200	16.6
6668	-1199188800	17.1
6668	-1196510400	17.7
6668	-1194004800	17.6
6668	-1191326400	17.3
6668	-1188734400	16.3
6668	-1186056000	15.5
6668	-1183464000	14.8
6668	-1180785600	15.2
6668	-1178107200	16.8
6668	-1175515200	17.6
6668	-1172836800	17.2
6668	-1170244800	16.6
6668	-1167566400	16.7
6668	-1164888000	18.1
6668	-1162468800	18.9
6668	-1159790400	18.9
6668	-1157198400	17.6
6668	-1154520000	16.5
6668	-1151928000	15.1
6668	-1149249600	14.9
6668	-1146571200	15.6
6668	-1143979200	16.8
6668	-1141300800	16.7
6668	-1138708800	16.4
6668	-1136030400	17.6
6668	-1133352000	18.8
6668	-1130932800	19
6668	-1128254400	18.2
6668	-1125662400	16.3
6668	-1122984000	15.6
6668	-1120392000	15.4
6668	-1117713600	15
6668	-1115035200	16.6
6668	-1112443200	17.6
6668	-1109764800	17.7
6668	-1107172800	17.5
6668	-1104494400	18.4
6668	-1101816000	18
6668	-1099396800	18.6
6668	-1096718400	18
6668	-1094126400	17.1
6668	-1091448000	15.9
6668	-1088856000	14.8
6668	-1086177600	15.1
6668	-1083499200	16.7
6668	-1080907200	17.1
6668	-1078228800	17.2
6668	-1075636800	17.1
6668	-1072958400	17.2
6668	-1070280000	18.2
6668	-1067774400	17.8
6668	-1065096000	17.4
6668	-1062504000	17.3
6668	-1059825600	15.5
6668	-1057233600	15
6668	-1054555200	15
6668	-1051876800	16.3
6668	-1049284800	17.6
6668	-1046606400	16.9
6668	-1044014400	17.4
6668	-1041336000	18.6
6668	-1038657600	20
6668	-1036238400	18.9
6668	-1033560000	17.6
6668	-1030968000	16.6
6668	-1028289600	15.5
6668	-1025697600	15.2
6668	-1023019200	15
6668	-1020340800	17.1
6668	-1017748800	16.9
6668	-1015070400	17.2
6668	-1012478400	16.6
6668	-1009800000	17
6668	-1007121600	18.8
6668	-1004702400	19
6668	-1002024000	17.7
6668	-999432000	16.8
6668	-996753600	15.3
6668	-994161600	15.4
6668	-991483200	15.4
6668	-988804800	16.4
6668	-986212800	17.4
6668	-983534400	16.7
6668	-980942400	16.8
6668	-978264000	17.5
6668	-975585600	18.7
6668	-973166400	19.3
6668	-970488000	17.8
6668	-967896000	16.7
6668	-965217600	15.5
6668	-962625600	15.7
6668	-959947200	15.6
6668	-957268800	17.1
6668	-954676800	18
6668	-951998400	18
6668	-949406400	18.4
6668	-946728000	19
6668	-944049600	19.8
6668	-941544000	19
6668	-938865600	17.8
6668	-936273600	17.4
6668	-933595200	16.3
6668	-931003200	15.5
6668	-928324800	15.9
6668	-925646400	17.5
6668	-923054400	18.1
6668	-920376000	18.3
6668	-917784000	17.8
6668	-915105600	19.2
6668	-912427200	19.7
6668	-910008000	18.9
6668	-907329600	18.5
6668	-904737600	17.8
6668	-902059200	16.4
6668	-899467200	15.2
6668	-896788800	16
6668	-894110400	17.3
6668	-891518400	18.7
6668	-888840000	18.1
6668	-886248000	17.5
6668	-883569600	18.6
6668	-880891200	19
6668	-878472000	18.9
6668	-875793600	18.3
6668	-873201600	17.1
6668	-870523200	16
6668	-867931200	14.7
6668	-865252800	15.3
6668	-862574400	16.3
6668	-859982400	17.5
6668	-857304000	17.4
6668	-854712000	17.7
6668	-852033600	18.6
6668	-849355200	19.3
6668	-846936000	19.1
6668	-844257600	18.4
6668	-841665600	17.6
6668	-838987200	15.8
6668	-836395200	15.1
6668	-833716800	15.7
6668	-831038400	16.2
6668	-828446400	17.7
6668	-825768000	17.5
6668	-823176000	17
6668	-820497600	18
6668	-817819200	19.8
6668	-815313600	19.1
6668	-812635200	18
6668	-810043200	17.7
6668	-807364800	17
6668	-804772800	15.7
6668	-802094400	16
6668	-799416000	17.4
6668	-796824000	18.3
6668	-794145600	18
6668	-791553600	17.6
6668	-788875200	18.1
6668	-786196800	19
6668	-783777600	18.7
6668	-781099200	19
6668	-778507200	17.5
6668	-775828800	16.6
6668	-773236800	15.3
6668	-770558400	15.5
6668	-767880000	16.4
6668	-765288000	18.6
6668	-762609600	17.4
6668	-760017600	17.5
6668	-757339200	18.3
6668	-754660800	19.7
6668	-752241600	20.1
6668	-749563200	18.6
6668	-746971200	17.7
6668	-744292800	17
6668	-741700800	16
6668	-739022400	15.1
6668	-736344000	16.3
6668	-733752000	17.3
6668	-731073600	17.6
6668	-728481600	17.9
6668	-725803200	18.4
6668	-723124800	19.6
6668	-720705600	18.6
6668	-718027200	18.4
6668	-715435200	17.1
6668	-712756800	16.3
6668	-710164800	16
6668	-707486400	15.2
6668	-704808000	17
6668	-702216000	18
6668	-699537600	17.1
6668	-696945600	16.9
6668	-694267200	19
6668	-691588800	19.8
6668	-689083200	19.4
6668	-686404800	18.8
6668	-683812800	17.9
6668	-681134400	16.3
6668	-678542400	15.7
6668	-675864000	13.8
6668	-673185600	17.2
6668	-670593600	18.3
6668	-667915200	17.2
6668	-665323200	17.2
6668	-662644800	17.7
6668	-659966400	18.8
6668	-657547200	19.6
6668	-654868800	19
6668	-652276800	17.9
6668	-649598400	16.5
6668	-647006400	16.2
6668	-644328000	15.9
6668	-641649600	17.2
6668	-639057600	18.4
6668	-636379200	18.5
6668	-633787200	17.8
