group	x	y
19664	-1230724800	11.7
19664	-1228046400	10.4
19664	-1225627200	18.2
19664	-1222948800	25.2
19664	-1220356800	28
19664	-1217678400	32.4
19664	-1215086400	32.4
19664	-1212408000	33.7
19664	-1209729600	29.8
19664	-1207137600	24.6
19664	-1204459200	18.1
19664	-1201867200	13.6
19664	-1199188800	13.4
19664	-1196510400	13.5
19664	-1194004800	18.6
19664	-1191326400	25.2
19664	-1188734400	27.8
19664	-1186056000	34.6
19664	-1183464000	33.1
19664	-1180785600	31.2
19664	-1178107200	29.9
19664	-1175515200	24.1
19664	-1172836800	18.3
19664	-1170244800	12.4
19664	-1167566400	10.1
19664	-1164888000	13.9
19664	-1162468800	17.6
19664	-1159790400	21.3
19664	-1157198400	28.5
19664	-1154520000	33.2
19664	-1151928000	33.8
19664	-1149249600	29.8
19664	-1146571200	28.6
19664	-1143979200	24
19664	-1141300800	18.5
19664	-1138708800	14.1
19664	-1136030400	9
19664	-1133352000	16.5
19664	-1130932800	17.4
19664	-1128254400	23.4
19664	-1125662400	26.9
19664	-1122984000	33.4
19664	-1120392000	33.7
19664	-1117713600	30.9
19664	-1115035200	29.4
19664	-1112443200	23.2
19664	-1109764800	17.4
19664	-1107172800	13.3
19664	-1104494400	9
19664	-1101816000	13.5
19664	-1099396800	18.2
19664	-1096718400	19.5
19664	-1094126400	28.6
19664	-1091448000	32.1
19664	-1088856000	32.3
19664	-1086177600	29.4
19664	-1083499200	28.2
19664	-1080907200	21.9
19664	-1078228800	17.3
19664	-1075636800	11.4
19664	-1072958400	9.7
19664	-1070280000	13.4
19664	-1067774400	15.8
19664	-1065096000	21.4
19664	-1062504000	30.9
19664	-1059825600	32.7
19664	-1057233600	33.2
19664	-1054555200	31.3
19664	-1051876800	29.2
19664	-1049284800	23.8
19664	-1046606400	16.6
19664	-1044014400	11.1
19664	-1041336000	9.6
19664	-1038657600	12.8
19664	-1036238400	15.6
19664	-1033560000	21.5
19664	-1030968000	29.2
19664	-1028289600	33.9
19664	-1025697600	31.5
19664	-1023019200	32.6
19664	-1020340800	28.5
19664	-1017748800	21.8
19664	-1015070400	16.5
19664	-1012478400	11.5
19664	-1009800000	9.6
19664	-1007121600	11.1
19664	-1004702400	16.7
19664	-1002024000	22.8
19664	-999432000	32.3
19664	-996753600	31.7
19664	-994161600	32.7
19664	-991483200	32
19664	-988804800	28.3
19664	-986212800	23.3
19664	-983534400	15.7
19664	-980942400	12.2
19664	-978264000	11.3
19664	-975585600	11.8
19664	-973166400	13.7
19664	-970488000	20.3
19664	-967896000	28.7
19664	-965217600	33.3
19664	-962625600	33
19664	-959947200	31.7
19664	-957268800	29.7
19664	-954676800	23.6
19664	-951998400	17.5
19664	-949406400	12.8
19664	-946728000	11.1
19664	-944049600	13.3
19664	-941544000	16.1
19664	-938865600	21.4
19664	-936273600	29.5
19664	-933595200	33.1
19664	-931003200	33.6
19664	-928324800	30.2
