group	x	y
104	-978264000	27.8
104	-975585600	27.1
104	-973166400	27.5
104	-970488000	26.6
104	-967896000	25.4
104	-965217600	24.4
104	-962625600	23.8
104	-959947200	22.9
104	-957268800	24.2
104	-954676800	25.7
104	-951998400	27.2
104	-949406400	28.4
104	-946728000	28.7
104	-944049600	28
104	-941544000	27.1
104	-938865600	26
104	-936273600	25.3
104	-933595200	24.4
104	-931003200	23.7
104	-928324800	23.6
104	-925646400	24.4
104	-923054400	24.9
104	-920376000	27
104	-917784000	28
104	-915105600	28.5
104	-912427200	27.7
104	-910008000	27.9
104	-907329600	26.3
104	-904737600	25.3
104	-902059200	24.1
104	-899467200	23.1
104	-896788800	22.5
104	-894110400	24.2
104	-891518400	24.9
104	-888840000	26.8
104	-886248000	27.4
104	-883569600	28.7
104	-880891200	28.7
104	-878472000	28.4
104	-875793600	27.5
104	-873201600	26.2
104	-870523200	25.3
104	-867931200	24.3
104	-865252800	24.5
104	-862574400	24.8
104	-859982400	25.5
104	-857304000	26.7
104	-854712000	27.5
104	-852033600	26.8
104	-849355200	27.3
104	-846936000	27
104	-844257600	27
104	-841665600	25.9
104	-838987200	24.1
104	-836395200	24
104	-833716800	24.6
104	-831038400	25.6
104	-828446400	26.5
104	-825768000	27.6
104	-823176000	28.7
104	-820497600	29.1
104	-817819200	28.4
104	-815313600	26.6
104	-812635200	26.2
104	-810043200	25.3
104	-807364800	24.3
104	-804772800	23.6
104	-802094400	23.6
104	-799416000	24.3
104	-796824000	24.9
104	-794145600	26.2
104	-791553600	27.6
104	-788875200	27.7
104	-786196800	28.1
104	-783777600	27
104	-781099200	26.4
104	-778507200	25.3
104	-775828800	24.4
104	-773236800	23.3
104	-770558400	24.3
104	-767880000	25.2
104	-765288000	25.9
104	-762609600	26.7
104	-760017600	27.9
104	-757339200	28.3
104	-754660800	28.4
104	-752241600	28.1
104	-749563200	26.5
104	-746971200	25.6
104	-744292800	23.8
104	-741700800	23.4
104	-739022400	23.6
104	-736344000	24.5
104	-733752000	25.3
104	-731073600	26.8
104	-728481600	27.6
104	-725803200	28.3
104	-723124800	27.8
104	-720705600	28.1
104	-718027200	27.1
104	-715435200	25.5
104	-712756800	24.7
104	-710164800	24.2
104	-707486400	24.4
104	-704808000	25.6
104	-702216000	25.4
104	-699537600	27.2
104	-696945600	27.8
104	-694267200	28.2
104	-691588800	27.8
104	-689083200	27.7
104	-686404800	26.4
104	-683812800	26.2
104	-681134400	24.4
104	-678542400	24.4
104	-675864000	23.6
104	-673185600	24.7
104	-670593600	26
104	-667915200	27.1
104	-665323200	27.4
104	-662644800	27.6
104	-659966400	28.1
104	-657547200	27.8
104	-654868800	26.1
104	-652276800	24.7
104	-649598400	23.6
104	-647006400	23.5
104	-644328000	23.7
104	-641649600	25.2
104	-639057600	27
104	-636379200	27
104	-633787200	27.9
104	-631108800	28
104	-628430400	28.4
104	-626011200	28
104	-623332800	26.6
104	-620740800	25.8
104	-618062400	24.8
104	-615470400	24.7
104	-612792000	24.4
104	-610113600	25
104	-607521600	26.7
104	-604843200	27
104	-602251200	26.7
104	-599572800	27.3
104	-596894400	27.9
104	-594475200	27.3
104	-591796800	26.3
104	-589204800	25
104	-586526400	24.2
104	-583934400	24.1
104	-581256000	24.2
104	-578577600	24.6
104	-575985600	26.1
104	-573307200	27.2
104	-570715200	28.2
104	-568036800	28.1
104	-565358400	28.2
104	-562852800	27.4
104	-560174400	27.3
104	-557582400	26.7
104	-554904000	25.6
104	-552312000	24.3
104	-549633600	24.5
104	-546955200	25.1
104	-544363200	26.3
104	-541684800	28.2
104	-539092800	28.5
104	-536414400	28.1
104	-533736000	28.3
104	-531316800	26.9
104	-528638400	26.6
104	-526046400	25.5
104	-523368000	24.6
104	-520776000	23.6
104	-518097600	23.3
104	-515419200	24.5
104	-512827200	26.5
104	-510148800	28.3
104	-507556800	28.4
104	-504878400	27.9
104	-502200000	28.4
104	-499780800	27.4
104	-497102400	26.7
104	-494510400	25.9
104	-491832000	24.6
104	-489240000	24.1
104	-486561600	23.9
104	-483883200	24.6
104	-481291200	26
104	-478612800	27
104	-476020800	27.3
104	-473342400	27.8
104	-470664000	28.1
104	-468244800	27.2
104	-465566400	26.9
104	-462974400	26.2
104	-460296000	24.6
104	-457704000	24.3
104	-455025600	24.4
104	-452347200	24.6
104	-449755200	26.4
104	-447076800	26.8
104	-444484800	27.6
104	-441806400	27.9
104	-439128000	28.2
104	-436622400	27.2
104	-433944000	26.8
104	-431352000	26.6
104	-428673600	25.1
104	-426081600	24.5
104	-423403200	23.8
104	-420724800	24.6
104	-418132800	27
104	-415454400	27.5
104	-412862400	28.2
104	-410184000	27.6
104	-407505600	26.8
104	-405086400	27.3
104	-402408000	26.6
104	-399816000	25
104	-397137600	23.9
104	-394545600	23.9
104	-391867200	23.6
104	-389188800	24.3
104	-386596800	26
104	-383918400	27.4
104	-381326400	28
104	-378648000	28.2
104	-375969600	28.4
104	-373550400	28.4
104	-370872000	27.6
104	-368280000	26.8
104	-365601600	25.1
104	-363009600	24.4
104	-360331200	24.6
104	-357652800	25.5
104	-355060800	26
104	-352382400	26.8
104	-349790400	27.8
104	-347112000	27.9
104	-344433600	27
104	-342014400	26.6
104	-339336000	26.4
104	-336744000	25.1
104	-334065600	24.3
104	-331473600	23.2
104	-328795200	23.1
104	-326116800	24.8
104	-323524800	25.7
104	-320846400	27.5
104	-318254400	28.9
104	-315576000	28.4
104	-312897600	28.2
104	-310392000	26.8
104	-307713600	26.4
104	-305121600	25.6
104	-302443200	24.3
104	-299851200	23
104	-297172800	23.6
104	-294494400	25.1
104	-291902400	26.2
104	-289224000	27.4
104	-286632000	27.7
104	-283953600	27
104	-281275200	28.5
104	-278856000	27.5
104	-276177600	27
104	-273585600	25.2
104	-270907200	24.2
104	-268315200	24.1
104	-265636800	23.5
104	-262958400	24.3
104	-260366400	25.6
104	-257688000	27.3
104	-255096000	27.9
104	-252417600	28.7
104	-249739200	28
104	-247320000	27.9
104	-244641600	27
104	-242049600	26.1
104	-239371200	25.1
104	-236779200	23.8
104	-234100800	23.8
104	-231422400	25.2
104	-228830400	26.8
104	-226152000	27.5
104	-223560000	27.8
104	-220881600	28.2
104	-218203200	27.7
104	-215784000	27.7
104	-213105600	26.7
104	-210513600	25.9
104	-207835200	24.5
