group	x	y
47014	-1230724800	27.7
47014	-1228046400	28.1
47014	-1225627200	25.3
47014	-1222948800	19
47014	-1220356800	19.6
47014	-1217678400	15.8
47014	-1215086400	11.7
47014	-1212408000	15
47014	-1209729600	18.3
47014	-1207137600	19.6
47014	-1204459200	25.7
47014	-1201867200	25.5
47014	-1199188800	26.1
47014	-1196510400	25.7
47014	-1194004800	25.3
47014	-1191326400	24.5
47014	-1188734400	17.3
47014	-1186056000	13.5
47014	-1183464000	11.7
47014	-1180785600	16.4
47014	-1178107200	16.3
47014	-1175515200	21.7
47014	-1172836800	24.4
47014	-1170244800	26.5
47014	-1167566400	27.8
47014	-1164888000	27.8
47014	-1162468800	26
47014	-1159790400	22.4
47014	-1157198400	18.3
47014	-1154520000	13.3
47014	-1151928000	13.1
47014	-1149249600	15.7
47014	-1146571200	19.2
47014	-1143979200	22.9
47014	-1141300800	23.3
47014	-1138708800	26.5
47014	-1136030400	25.5
47014	-1133352000	24.3
47014	-1130932800	22.9
47014	-1128254400	22
47014	-1125662400	18.1
47014	-1122984000	16
47014	-1120392000	12.3
47014	-1117713600	15.7
47014	-1115035200	19.3
47014	-1112443200	19.1
47014	-1109764800	22.9
47014	-1107172800	25.4
47014	-1104494400	26.4
47014	-1101816000	25.7
47014	-1099396800	22.9
47014	-1096718400	19.9
47014	-1094126400	15.3
47014	-1091448000	12.4
47014	-1088856000	13.5
47014	-1086177600	13.9
47014	-1083499200	16.9
47014	-1080907200	23.5
47014	-1078228800	22.9
47014	-1075636800	25.5
47014	-1072958400	24.9
47014	-1070280000	24.7
47014	-1067774400	23.5
47014	-1065096000	22.7
47014	-1062504000	15
47014	-1059825600	15.9
47014	-1057233600	14.3
47014	-1054555200	17.4
47014	-1051876800	18.6
47014	-1049284800	20.3
47014	-1046606400	23.3
47014	-1044014400	25.3
47014	-1041336000	25.9
47014	-1038657600	25.5
47014	-1036238400	23.9
47014	-1033560000	21.6
47014	-1030968000	17.7
47014	-1028289600	12.8
47014	-1025697600	11.8
47014	-1023019200	17.1
47014	-1020340800	17.4
47014	-1017748800	22.4
47014	-1015070400	25.1
47014	-1012478400	25.9
47014	-1009800000	26.5
47014	-1007121600	26.3
47014	-1004702400	25.3
47014	-1002024000	19.6
47014	-999432000	17
47014	-996753600	14.7
47014	-994161600	13.5
47014	-991483200	14.7
47014	-988804800	16.7
47014	-986212800	20.9
47014	-983534400	21.7
47014	-980942400	25.4
47014	-978264000	26.3
47014	-975585600	24.3
47014	-973166400	23.7
47014	-970488000	20
47014	-967896000	16.6
47014	-965217600	14.7
47014	-962625600	14
47014	-959947200	13.7
47015	-570715200	17.2
47015	-568036800	18.3
47015	-565358400	19.9
47015	-562852800	17.8
47015	-560174400	16.2
47015	-557582400	13.7
47015	-554904000	14.9
47015	-552312000	13.7
47015	-549633600	13.5
47015	-546955200	15.5
47015	-544363200	15.5
47015	-541684800	18.3
47015	-539092800	17.5
47015	-536414400	18.6
47015	-533736000	19.3
47015	-531316800	18.7
47015	-528638400	17.2
47015	-526046400	16.3
47015	-523368000	14.4
47015	-520776000	14.7
47015	-518097600	13.9
47015	-515419200	15.1
47015	-512827200	15
47015	-510148800	16.4
47015	-507556800	18.1
47015	-504878400	18.1
47015	-502200000	18.5
47015	-499780800	19.2
47015	-497102400	17.5
47015	-494510400	14.5
47015	-491832000	16.6
47015	-489240000	11.9
47015	-486561600	12.1
47015	-483883200	13.9
47015	-481291200	15
47015	-478612800	16.5
47015	-476020800	17.8
47015	-473342400	18.3
47015	-470664000	17.9
47015	-468244800	19.3
47015	-465566400	16.1
47015	-462974400	14.2
47015	-460296000	13.6
47015	-457704000	12.9
47015	-455025600	14.1
47015	-452347200	13.8
47015	-449755200	14.7
47015	-447076800	16.7
47015	-444484800	16.6
47015	-441806400	18.4
47015	-439128000	17.5
47015	-436622400	18.2
47015	-433944000	16.4
47015	-431352000	13.8
47015	-428673600	13.4
47015	-426081600	13.2
47015	-423403200	12.2
47015	-420724800	14.5
47015	-418132800	14.5
47015	-415454400	17.1
47015	-412862400	18.8
47015	-410184000	19.4
47015	-407505600	19.9
47015	-405086400	17.6
47015	-402408000	15.5
47015	-399816000	14.6
47015	-397137600	13
47015	-394545600	12.8
47015	-391867200	13.1
47015	-389188800	14.5
47015	-386596800	14.6
47015	-383918400	16.4
47015	-381326400	17.7
47015	-378648000	19.2
47015	-375969600	18.5
47015	-373550400	17.3
47015	-370872000	15.2
47015	-368280000	13.4
47015	-365601600	14
47015	-363009600	12.3
47015	-360331200	14.2
47015	-357652800	13.5
47015	-355060800	15.2
47015	-352382400	16.9
47015	-349790400	18.8
47015	-347112000	17.9
47015	-344433600	18.3
47015	-342014400	18.3
47015	-339336000	16.1
47015	-336744000	14.8
47015	-334065600	15.2
47015	-331473600	14.2
47015	-328795200	15.1
47015	-326116800	15.3
47015	-323524800	15.5
47015	-320846400	16.7
47015	-318254400	17.4
47015	-315576000	18.2
47015	-312897600	18.8
47015	-310392000	17.9
47015	-307713600	17
47015	-305121600	14.4
47015	-302443200	14.4
47015	-299851200	14.6
47015	-297172800	13
47015	-294494400	14.7
47015	-291902400	15.7
47015	-289224000	17.8
47015	-286632000	19.4
47015	-283953600	19.1
47015	-281275200	18.6
47015	-278856000	17.9
47015	-276177600	16.6
47015	-273585600	14.5
47015	-270907200	15.2
47015	-268315200	16.4
47015	-265636800	15
47015	-262958400	14.9
47015	-260366400	15.2
47015	-257688000	16.6
47015	-255096000	17.5
47015	-252417600	18.8
47015	-249739200	19.4
47015	-247320000	18.1
47016	-315576000	15.5
47016	-312897600	16
47016	-310392000	15.5
47016	-307713600	15.5
47016	-305121600	13
47016	-302443200	13.8
47016	-299851200	13.1
47016	-297172800	11.2
47016	-294494400	12.9
47016	-291902400	13.2
47016	-289224000	15.2
47017	-2208945600	21.8
47017	-2206267200	23.4
47017	-2203848000	21.6
47017	-2201169600	21.7
47017	-2198577600	18.1
47017	-2195899200	13.2
47017	-2193307200	12.4
47017	-2190628800	11.7
47017	-2187950400	16.8
47017	-2185358400	15.3
47017	-2182680000	18.2
47017	-2180088000	21.9
47017	-2177409600	19.8
47017	-2174731200	21.7
