group	x	y
31311	-2529748800	1.2
31311	-2527156800	-5.6
31311	-2524478400	-9.9
31311	-2521800000	-8.8
31311	-2519380800	-4.9
31311	-2516702400	4.4
31311	-2514110400	10.6
31311	-2511432000	18.3
31311	-2508840000	20.3
31311	-2506161600	17.9
31311	-2503483200	14.1
31311	-2500891200	7.9
31311	-2498212800	-0.2
31311	-2495620800	-13.5
31311	-2492942400	-10
31311	-2490264000	-9.8
31311	-2487844800	-4.2
31311	-2485166400	6.2
31311	-2482574400	11.9
31311	-2479896000	19.2
31311	-2477304000	18.1
31311	-2474625600	19.1
31311	-2471947200	16.9
31311	-2469355200	7.1
31311	-2466676800	0.9
31311	-2464084800	-2.1
31311	-2461406400	-11.4
31311	-2458728000	-8.9
31311	-2456222400	-5.9
31311	-2453544000	4.8
31311	-2450952000	11.6
31311	-2448273600	18.5
31311	-2445681600	20.7
31311	-2443003200	19.4
31311	-2440324800	14.6
31311	-2437732800	7.5
31311	-2435054400	-1
31311	-2432462400	-9.1
31311	-2429784000	-16.1
31311	-2427105600	-12.9
31311	-2424686400	-5
31311	-2422008000	2.8
31311	-2419416000	12.4
31311	-2416737600	20.3
31311	-2414145600	19.9
31311	-2411467200	19.5
31311	-2408788800	12.1
31311	-2406196800	9.4
31311	-2403518400	0.5
31311	-2400926400	-11.7
31311	-2398248000	-10.6
31311	-2395569600	-11.9
31311	-2393150400	-0.5
31311	-2390472000	7.9
31311	-2387880000	13.1
31311	-2385201600	19
31311	-2382609600	20.6
31311	-2379931200	17.1
31311	-2377252800	15.9
31311	-2374660800	9.1
31311	-2371982400	-1.4
31311	-2369390400	-6.2
31311	-2366712000	-11.3
31311	-2364033600	-10.8
31311	-2361614400	-6.6
31311	-2358936000	5.4
31311	-2356344000	14.5
31311	-2353665600	20.9
31311	-2351073600	19
31311	-2348395200	18.6
31311	-2345716800	15.7
31311	-2343124800	4.8
31311	-2340446400	0.6
31311	-2337854400	-6.7
31311	-2335176000	-11.6
31311	-2332497600	-10.6
31311	-2329992000	-7.4
31311	-2327313600	6.6
31311	-2324721600	15.1
31311	-2322043200	17.9
31311	-2319451200	20.6
31311	-2316772800	19.5
31311	-2314094400	13.5
31311	-2311502400	6.2
31311	-2308824000	1.6
31311	-2306232000	-8.3
31311	-2303553600	-10.2
31311	-2300875200	-8.2
31311	-2298456000	-4
31311	-2295777600	6.2
31311	-2293185600	12.6
31311	-2290507200	16.7
31311	-2287915200	22.5
31311	-2285236800	17.9
31311	-2282558400	15.3
31311	-2279966400	8.8
31311	-2277288000	-1.1
31311	-2274696000	-8
31311	-2272017600	-11.9
31311	-2269339200	-7.3
31311	-2266920000	1
31311	-2264241600	6.4
31311	-2261649600	14.2
31311	-2258971200	19.1
31311	-2256379200	21.5
31311	-2253700800	19.8
31311	-2251022400	16.2
31311	-2248430400	8.2
31311	-2245752000	0.4
31311	-2243160000	-7.9
31311	-2240481600	-10.3
31311	-2237803200	-10.9
31311	-2235384000	-5.6
31311	-2232705600	5.8
31312	-1333368000	10.1
31312	-1330689600	2.1
31312	-1328097600	-5.2
31312	-1325419200	-8.6
31312	-1322740800	-9.2
31312	-1320235200	-3.9
31312	-1317556800	2.8
31312	-1314964800	12.4
31312	-1312286400	17.5
31312	-1309694400	22.1
31312	-1307016000	21.7
31312	-1304337600	14.1
31312	-1301745600	9
31312	-1299067200	2.1
31312	-1296475200	-3.2
31312	-1293796800	-10.6
31312	-1291118400	-11.1
31312	-1288699200	-2
31312	-1286020800	4.8
31312	-1283428800	11.9
31312	-1280750400	17.9
31312	-1278158400	19.6
31312	-1275480000	18.1
31312	-1272801600	16.5
31312	-1270209600	8.1
31312	-1267531200	0.7
31312	-1264939200	-8.8
31312	-1262260800	-11
31312	-1259582400	-11.1
31312	-1257163200	-4.1
31312	-1254484800	3.7
31312	-1251892800	13.9
31312	-1249214400	19.2
31312	-1246622400	19.6
31312	-1243944000	18.4
31312	-1241265600	15
31312	-1238673600	8.8
31312	-1235995200	2.1
31312	-1233403200	-6.8
31312	-1230724800	-12.5
31312	-1228046400	-10.8
31312	-1225627200	-1.3
31312	-1222948800	5.9
31312	-1220356800	12.8
31312	-1217678400	17.9
31312	-1215086400	22.5
31312	-1212408000	19.9
31312	-1209729600	16.3
31312	-1207137600	10.1
31312	-1204459200	3.8
31312	-1201867200	-5.7
31312	-1199188800	-5.5
31312	-1196510400	-11
31312	-1194004800	-7.3
31312	-1191326400	2
31312	-1188734400	12.6
31312	-1186056000	18.1
31312	-1183464000	18.6
31312	-1180785600	19.7
31312	-1178107200	15.3
31312	-1175515200	8.7
31312	-1172836800	-2.1
31312	-1170244800	-5.8
