group	x	y
44713	-2808475200	21.8
44713	-2805796800	20.6
44713	-2803377600	17.7
44713	-2800699200	11.8
44713	-2798107200	9.6
44713	-2795428800	5.6
44713	-2792836800	4.2
44713	-2790158400	8.2
44713	-2787480000	13.3
44713	-2784888000	19
44713	-2782209600	19.3
44713	-2779617600	24.3
44713	-2776939200	23.8
44713	-2774260800	23
44713	-2771841600	16.1
44713	-2769163200	13.2
44713	-2766571200	8.8
44713	-2763892800	6.3
44713	-2761300800	6.8
44713	-2758622400	10
44713	-2755944000	13.5
44713	-2753352000	14.7
44713	-2750673600	17.8
44713	-2748081600	20.2
44713	-2745403200	20.1
44713	-2742724800	22
44713	-2740305600	18.2
44713	-2737627200	15.4
44713	-2735035200	10.5
44713	-2732356800	7.5
44713	-2729764800	6.8
44713	-2727086400	7.6
44713	-2724408000	14.9
44713	-2721816000	16.7
44713	-2719137600	19.3
44713	-2716545600	20.6
44713	-2713867200	20.7
44713	-2711188800	20.8
44713	-2708683200	17.6
44713	-2706004800	13.4
44713	-2703412800	10.7
44713	-2700734400	9
44713	-2698142400	4.4
44713	-2695464000	9.8
44713	-2692785600	11.8
44713	-2690193600	16.1
44713	-2687515200	18.6
44713	-2684923200	22.3
44713	-2682244800	21.8
44713	-2679566400	21.8
44713	-2677147200	17.3
44713	-2674468800	13.5
44713	-2671876800	10
44713	-2669198400	8.2
44713	-2666606400	8.3
44713	-2663928000	10.8
44713	-2661249600	13.8
44713	-2658657600	16.6
44713	-2655979200	19.2
44713	-2653387200	22.3
44713	-2650708800	22.6
44713	-2648030400	22.9
44713	-2645611200	18.2
44713	-2642932800	15.7
44713	-2640340800	12
44713	-2637662400	8.3
44713	-2635070400	6.3
44713	-2632392000	9
44713	-2629713600	15.1
44713	-2627121600	16.3
44713	-2624443200	17.9
44713	-2621851200	19.5
44713	-2619172800	21.4
44713	-2616494400	20
44713	-2614075200	18.1
44713	-2611396800	13.7
44713	-2608804800	9.9
44713	-2606126400	7.8
44713	-2603534400	8
44713	-2600856000	8.9
44713	-2598177600	14.6
44713	-2595585600	16.9
44713	-2592907200	17.9
44713	-2590315200	19.6
44713	-2587636800	20.2
44713	-2584958400	21
44713	-2582452800	17.4
44713	-2579774400	14.7
44713	-2577182400	10.4
44713	-2574504000	8.3
44713	-2571912000	7.8
44713	-2569233600	11.8
44713	-2566555200	12.3
44713	-2563963200	18.3
44713	-2561284800	17.7
44713	-2558692800	21.4
44713	-2556014400	22.7
44713	-2553336000	20.4
44713	-2550916800	18.8
44713	-2548238400	16.1
44713	-2545646400	11.1
44713	-2542968000	8.1
44713	-2540376000	6.2
44713	-2537697600	9.8
44713	-2535019200	13.7
44713	-2532427200	16.4
44713	-2529748800	18.4
44713	-2527156800	21
44713	-2524478400	20.7
44713	-2521800000	19.8
44713	-2519380800	18.3
44713	-2516702400	13.2
44713	-2514110400	7.7
44713	-2511432000	9.1
44713	-2508840000	7
44713	-2506161600	10.2
44713	-2503483200	15.3
44713	-2500891200	13.6
44713	-2498212800	17.2
44713	-2495620800	19.3
44713	-2492942400	20.3
44713	-2490264000	20.2
44713	-2487844800	17.7
44713	-2485166400	15.9
44713	-2482574400	10.9
44713	-2479896000	8.9
44713	-2477304000	9.1
44713	-2474625600	8.7
44713	-2471947200	13.2
44713	-2469355200	15.6
44713	-2466676800	18.9
44713	-2464084800	18.2
44713	-2461406400	21.8
44713	-2458728000	20.8
44713	-2456222400	19.4
44713	-2453544000	14.2
44713	-2450952000	10.8
44713	-2448273600	7.7
44713	-2445681600	7.1
44713	-2443003200	9.3
44713	-2440324800	13
44713	-2437732800	14.7
44713	-2435054400	17.6
44713	-2432462400	19.1
44713	-2429784000	21.2
44713	-2427105600	21
44713	-2424686400	20
44713	-2422008000	13.9
44713	-2419416000	10.1
44713	-2416737600	7.8
44713	-2414145600	7
44713	-2411467200	10.2
44713	-2408788800	11.8
44713	-2406196800	14.2
44713	-2403518400	18.1
44713	-2400926400	19.1
44713	-2398248000	20.1
44713	-2395569600	20.3
44713	-2393150400	19.6
44713	-2390472000	13.4
44713	-2387880000	10.7
44713	-2385201600	8.2
44713	-2382609600	7.2
44713	-2379931200	11.2
44713	-2377252800	13.9
44713	-2374660800	16.8
44713	-2371982400	18.4
44713	-2369390400	19.6
44713	-2366712000	20.3
44713	-2364033600	19
44713	-2361614400	19.1
44713	-2358936000	13.7
44713	-2356344000	11
44713	-2353665600	7
44713	-2351073600	8.6
44713	-2348395200	11.2
44713	-2345716800	12.4
44713	-2343124800	17.2
44713	-2340446400	19.9
44713	-2337854400	19.7
44713	-2335176000	21.2
44713	-2332497600	21.8
44713	-2329992000	20.3
44713	-2327313600	15.7
44713	-2324721600	10.9
44713	-2322043200	8.6
44713	-2319451200	7.8
44713	-2316772800	12.2
44713	-2314094400	14.7
44713	-2311502400	18.4
44713	-2308824000	19.1
44713	-2306232000	21.1
44713	-2303553600	19.3
44713	-2300875200	20.3
44713	-2298456000	18.1
44713	-2295777600	16.4
44713	-2293185600	11.3
44713	-2290507200	7.4
44713	-2287915200	8.2
44713	-2285236800	10.9
44713	-2282558400	13.5
44713	-2279966400	17.5
44713	-2277288000	17.6
44713	-2274696000	22.2
44713	-2272017600	20.5
44713	-2269339200	19.2
44713	-2266920000	19.6
44713	-2264241600	15.2
44713	-2261649600	11.6
44713	-2258971200	7.7
44713	-2256379200	7.8
44713	-2253700800	10.8
44713	-2251022400	13.3
44713	-2248430400	14.4
44713	-2245752000	19
44713	-2243160000	21.2
44713	-2240481600	22.3
44713	-2237803200	22.3
44713	-2235384000	18.8
44713	-2232705600	14.7
44713	-2230113600	9.3
44713	-2227435200	8.3
44713	-2224843200	7.9
44713	-2222164800	11.2
44713	-2219486400	15.6
44713	-2216894400	15.8
44713	-2214216000	16.9
44713	-2211624000	21.2
44713	-2208945600	21.3
44713	-2206267200	21.3
44713	-2203848000	18.7
44713	-2201169600	16.7
44713	-2198577600	12.9
44713	-2195899200	8.8
44713	-2193307200	8.9
44713	-2190628800	9.1
44713	-2187950400	15.3
44713	-2185358400	16.4
44713	-2182680000	19.1
44713	-2180088000	19.8
44713	-2177409600	22.4
44713	-2174731200	21.4
44713	-2172312000	18
44713	-2169633600	16.3
44713	-2167041600	10.1
44713	-2164363200	9
44713	-2161771200	8.1
44713	-2159092800	11.7
44713	-2156414400	13.3
44713	-2153822400	15.1
44713	-2151144000	17.7
44713	-2148552000	21.3
44713	-2145873600	21.2
44713	-2143195200	21.3
44713	-2140776000	17.8
44713	-2138097600	13.8
44713	-2135505600	12.1
44713	-2132827200	6.7
44713	-2130235200	8.9
44713	-2127556800	10.6
44713	-2124878400	12.2
44713	-2122286400	15.7
44713	-2119608000	16.4
44713	-2117016000	21.4
44713	-2114337600	22.3
44713	-2111659200	20.9
44713	-2109240000	17.9
44713	-2106561600	13.8
44713	-2103969600	11.3
44713	-2101291200	7.1
44713	-2098699200	8.2
44713	-2096020800	11.4
44713	-2093342400	14.3
44713	-2090750400	15.8
44713	-2088072000	18.3
44713	-2085480000	22.4
44713	-2082801600	21.3
44713	-2080123200	20.2
44713	-2077617600	18.7
44713	-2074939200	15
44713	-2072347200	10.6
44713	-2069668800	8.4
44713	-2067076800	8.1
44713	-2064398400	9.8
44713	-2061720000	13.8
44713	-2059128000	15.7
44713	-2056449600	19.3
44713	-2053857600	19.2
44713	-2051179200	22.2
44713	-2048500800	20.7
44713	-2046081600	17.8
44713	-2043403200	16.3
44713	-2040811200	10.8
44713	-2038132800	6.9
44713	-2035540800	8.9
44713	-2032862400	9.5
44713	-2030184000	12.9
44713	-2027592000	16.7
44713	-2024913600	18.7
44713	-2022321600	21.1
44713	-2019643200	22.6
44713	-2016964800	20.3
44713	-2014545600	18.3
44713	-2011867200	13.8
44713	-2009275200	12
44713	-2006596800	8.7
44713	-2004004800	7.3
44713	-2001326400	9.3
44713	-1998648000	14.2
44713	-1996056000	14.5
44713	-1993377600	17.9
44713	-1990785600	19.4
44713	-1988107200	21.1
44713	-1985428800	20.7
44713	-1983009600	19.9
44713	-1980331200	14.7
44713	-1977739200	10
44713	-1975060800	8.3
44713	-1972468800	7.7
44713	-1969790400	10.4
44713	-1967112000	14.9
44713	-1964520000	15.8
44713	-1961841600	17.6
44713	-1959249600	19.9
44713	-1956571200	21.3
44713	-1953892800	23.1
44713	-1951387200	19
44713	-1948708800	13.1
44713	-1946116800	11.3
44713	-1943438400	8
44713	-1940846400	8.5
44713	-1938168000	11
44713	-1935489600	14.2
44713	-1932897600	16
44713	-1930219200	18.9
44713	-1927627200	22.1
44713	-1924948800	22.2
44713	-1922270400	20.1
44713	-1919851200	18
44713	-1917172800	16.1
44713	-1914580800	11.5
44713	-1911902400	9.6
44713	-1909310400	8.6
44713	-1906632000	10.7
44713	-1903953600	14.4
44713	-1901361600	15.9
44713	-1898683200	18.8
44713	-1896091200	20.1
44713	-1893412800	21.4
44713	-1890734400	20.1
44713	-1888315200	18.6
44713	-1885636800	15.8
44713	-1883044800	11.4
44713	-1880366400	7.6
44713	-1877774400	8.3
44713	-1875096000	10.1
44713	-1872417600	14
44713	-1869825600	15.6
44713	-1867147200	17.3
44713	-1864555200	20.4
44713	-1861876800	21.6
44713	-1859198400	21.4
44713	-1856779200	18
44713	-1854100800	14.1
44713	-1851508800	10.4
44713	-1848830400	7.2
44713	-1846238400	6.8
44713	-1843560000	9.7
44713	-1840881600	13.6
44713	-1838289600	17.1
44713	-1835611200	18.9
44713	-1833019200	21.3
44713	-1830340800	22.9
44713	-1827662400	21.8
44713	-1825156800	18.9
44713	-1822478400	15.1
44713	-1819886400	12.8
44713	-1817208000	8.1
44713	-1814616000	8.7
44713	-1811937600	10.6
44713	-1809259200	12.2
44713	-1806667200	17.2
44713	-1803988800	19.5
44713	-1801396800	21.2
44713	-1798718400	22.1
44713	-1796040000	20.8
44713	-1793620800	19.1
44713	-1790942400	15.9
44713	-1788350400	10.8
44713	-1785672000	9.1
44714	-299851200	8.1
44714	-297172800	12.4
44714	-294494400	14.6
44714	-291902400	17.5
44714	-289224000	20
44714	-286632000	20.7
44714	-283953600	21.5
44714	-281275200	22
44714	-278856000	19.4
44714	-276177600	15.5
44714	-273585600	10.2
44714	-270907200	9.3
44714	-268315200	9.3
44714	-265636800	10.1
44714	-262958400	14.5
44714	-260366400	15
44714	-257688000	19.3
44714	-255096000	19.7
44714	-252417600	21.9
44714	-249739200	20.4
44714	-247320000	19.5
44714	-244641600	15.5
44714	-242049600	11.7
44714	-239371200	9.8
44714	-236779200	9.9
44714	-234100800	11.5
44714	-231422400	14.9
44714	-228830400	16.9
44714	-226152000	18.5
44714	-223560000	22.3
44714	-220881600	20.9
44714	-218203200	21.3
44714	-215784000	17.5
44714	-213105600	14.1
44714	-210513600	11.3
44714	-207835200	8.9
44714	-205243200	8
44714	-202564800	10.6
44714	-199886400	17.8
44714	-197294400	17.2
44714	-194616000	19.4
44714	-192024000	21.3
44714	-189345600	21.5
44714	-186667200	20.7
44714	-184161600	21.4
44714	-181483200	14.3
44714	-178891200	12.6
44714	-176212800	7.9
44714	-173620800	8.4
44714	-170942400	9.6
44714	-168264000	12.8
44714	-165672000	16.1
44714	-162993600	17.8
44714	-160401600	19.9
44714	-157723200	22.4
44714	-155044800	21.5
44714	-152625600	19.8
44714	-149947200	15
44714	-147355200	11.8
44714	-144676800	6.7
44714	-142084800	9.2
44714	-139406400	12.6
44714	-136728000	15.3
44714	-134136000	14.3
44714	-131457600	17.2
44714	-128865600	19.8
44714	-126187200	23.4
44714	-123508800	19.9
44714	-121089600	20.6
44714	-118411200	14.5
44714	-115819200	12.1
44714	-113140800	9.9
44714	-110548800	9.4
44714	-107870400	11.9
44714	-105192000	13.1
44714	-102600000	17.1
44714	-99921600	19.3
44714	-97329600	22.9
44714	-94651200	21.8
44714	-91972800	20.7
44714	-89553600	18.6
44714	-86875200	14.2
44714	-84283200	11.6
44714	-81604800	9.1
44714	-79012800	7.2
44714	-76334400	11.2
44714	-73656000	13.3
44714	-71064000	16.2
44714	-68385600	19.5
44714	-65793600	21.3
44714	-63115200	22.2
44714	-60436800	20.2
44714	-57931200	18.3
44714	-55252800	13.2
44714	-52660800	10.8
44714	-49982400	6.7
44714	-47390400	8.5
44714	-44712000	9.7
44714	-42033600	13
44714	-39441600	16
44714	-36763200	18.8
44714	-34171200	21.2
44714	-31492800	23.2
44714	-28814400	22.8
44714	-26395200	19.5
44714	-23716800	13.9
44714	-21124800	11.6
44714	-18446400	9.5
44714	-15854400	9.6
44714	-13176000	12
44714	-10497600	13
44714	-7905600	16.3
44714	-5227200	18.7
44714	-2635200	21.9
44714	43200	23
44714	2721600	21.9
44714	5140800	20.5
44714	7819200	15.8
44714	10411200	13
44714	13089600	8.5
44714	15681600	8.5
44714	18360000	9.5
44714	21038400	14
44714	23630400	16.6
44714	26308800	18.1
44714	28900800	20.2
44714	31579200	21.8
44714	34257600	20.7
44714	36676800	19.7
44714	39355200	15.4
44714	41947200	11.3
44714	44625600	9.8
44714	47217600	10.2
44714	49896000	9.2
44714	52574400	12.5
44714	55166400	15.4
44714	57844800	17.6
44714	60436800	20.4
44714	63115200	22.2
44714	65793600	19.7
44714	68299200	18.9
44714	70977600	15.7
44714	73569600	10.9
44714	76248000	9
44714	78840000	9.1
44714	81518400	9.9
44714	84196800	14.2
44714	86788800	17.5
44714	89467200	19.8
44714	92059200	21.1
44714	94737600	22
44714	97416000	20.6
44714	99835200	20.2
44714	102513600	15.1
44714	105105600	10.4
44714	107784000	10.2
44714	110376000	9.3
44714	113054400	9.9
44714	115732800	12
44714	118324800	16.8
44714	121003200	17.9
44714	123595200	20
44714	126273600	22
44714	128952000	20.6
44714	131371200	17.3
44714	134049600	15
44714	136641600	11.7
44714	139320000	9.2
44714	141912000	9.7
44714	144590400	9.3
44714	147268800	13.1
44714	149860800	15.1
44714	152539200	18.2
44714	155131200	19.9
44714	157809600	20.5
44714	160488000	20
44714	162907200	16.6
44714	165585600	14.6
44714	168177600	10.8
44714	170856000	9.6
44714	173448000	8.9
44714	176126400	10
44714	178804800	14.3
44714	181396800	14.5
44714	184075200	17.8
44714	186667200	18.3
44714	189345600	20.1
44714	192024000	20.1
44714	194529600	17.7
44714	197208000	15.4
44714	199800000	11.5
44714	202478400	8.5
44714	205070400	8.5
44714	207748800	9.1
44714	210427200	14.1
44714	213019200	14.9
44714	215697600	15.5
44714	218289600	20.3
44714	220968000	21.6
44714	223646400	22
44714	226065600	17.5
44714	228744000	16.3
44714	231336000	10.1
44714	234014400	9.7
44714	236606400	8.9
44714	239284800	9.5
44714	241963200	13.7
44714	244555200	16.7
44714	247233600	18.8
44714	249825600	21.5
44714	252504000	20.1
44714	255182400	21.3
44714	257601600	20.8
44714	260280000	13.7
44714	262872000	11.9
44714	265550400	7.9
44714	268142400	10.1
44714	270820800	10.4
44714	273499200	12.3
44714	276091200	13.8
44714	278769600	18.8
44714	281361600	20
44714	284040000	20.4
44714	286718400	22.1
44714	289137600	18.2
44714	291816000	16.9
44714	294408000	11.6
44714	297086400	9.1
44714	299678400	7.5
44714	302356800	10.2
44714	305035200	12.4
44714	307627200	15.6
44714	310305600	18.7
44714	312897600	21.1
44714	315576000	20.4
44714	318254400	21.2
44714	320760000	20.1
44714	323438400	14.9
44714	326030400	11.2
44714	328708800	8.7
44714	331300800	8.7
44714	333979200	11.9
44714	336657600	12.3
44714	339249600	16.1
44714	341928000	17.5
44714	344520000	21
44714	347198400	21.5
44714	349876800	20.7
44714	352296000	16.8
44714	354974400	15.7
44714	357566400	11.9
44714	360244800	7.9
44714	362836800	8.1
44714	365515200	7.9
44714	368193600	11.1
44714	370785600	13.9
44714	373464000	19
44714	376056000	19.8
44714	378734400	20.9
44714	381412800	21.7
44714	383832000	18.2
44714	386510400	13.1
44714	389102400	11.6
44714	391780800	9.1
44714	394372800	8.8
44714	397051200	10
44714	399729600	15.1
44714	402321600	16.3
44714	4.05e+08	17.1
44714	407592000	20.9
44714	410270400	23.5
44714	412948800	20.6
44714	415368000	19.5
44714	418046400	16.8
44714	420638400	10.8
44714	423316800	9.6
44714	425908800	8.4
44714	428587200	9.6
44714	431265600	14.7
44714	433857600	16.5
44714	436536000	18.4
44714	439128000	21.3
44714	441806400	21.5
44714	444484800	22.6
44714	446990400	20.1
44714	449668800	15.1
44714	452260800	11.5
44714	454939200	9.6
44714	457531200	8.3
44714	460209600	10.5
44714	462888000	14.2
44714	465480000	15.8
44714	468158400	18.2
44714	470750400	19.6
44714	473428800	23
44714	476107200	20.7
44714	478526400	17.9
44714	481204800	15.2
44714	483796800	10.7
44714	486475200	9.5
44714	489067200	8.7
44714	491745600	12.4
44714	494424000	14.4
44714	497016000	17.7
44714	499694400	20
44714	502286400	18.8
44714	504964800	21.3
44714	507643200	19.8
44714	510062400	18.6
44714	512740800	15.9
