group	x	y
39120	-1041336000	-25.6
39120	-1038657600	-30.6
39120	-1036238400	-30.9
39120	-1033560000	-14.5
39120	-1030968000	-0.5
39120	-1028289600	8.1
39120	-1025697600	13.4
39120	-1023019200	6.5
39120	-1020340800	3.4
39120	-1017748800	-12
39120	-1015070400	-22.4
39121	-1009800000	-29.5
39121	-1007121600	-34
39121	-1004702400	-22.3
39122	-996753600	7.9
39122	-994161600	12.1
39123	-978264000	-38.1
39123	-975585600	-23.9
39123	-973166400	-22.3
39123	-970488000	-14
39123	-967896000	-5.3
39123	-965217600	7.7
39123	-962625600	11.4
39123	-959947200	11
39123	-957268800	3.2
39124	-951998400	-26.2
39124	-949406400	-23.9
39124	-946728000	-38.5
39124	-944049600	-27.7
39124	-941544000	-22.5
39124	-938865600	-12
39124	-936273600	-2.4
39124	-933595200	9
39124	-931003200	12.1
39124	-928324800	9.5
39124	-925646400	2.1
39124	-923054400	-14.2
39124	-920376000	-29
39124	-917784000	-40.6
39124	-915105600	-43.2
39124	-912427200	-38.6
39124	-910008000	-32.5
39124	-907329600	-16.4
39124	-904737600	-1.6
39124	-902059200	11.1
39124	-899467200	15.3
39124	-896788800	11.5
39124	-894110400	3.2
39124	-891518400	-7.3
39124	-888840000	-29.3
39124	-886248000	-39.8
39124	-883569600	-29.3
39124	-880891200	-33.4
39124	-878472000	-30.7
39124	-875793600	-15.5
39124	-873201600	-0.4
39124	-870523200	7.8
39124	-867931200	14.9
39124	-865252800	9
39124	-862574400	3.7
39124	-859982400	-13.6
39124	-857304000	-28.2
39124	-854712000	-25.9
39124	-852033600	-35.6
39124	-849355200	-25.9
39124	-846936000	-18.4
39124	-844257600	-4.6
39124	-841665600	-1.3
39124	-838987200	8.9
39124	-836395200	12.3
39124	-833716800	11.3
39124	-831038400	4.5
39124	-828446400	-7.8
39124	-825768000	-27.9
39125	-810043200	-2.3
39125	-807364800	6
39125	-804772800	13.1
39126	-775828800	13.6
39126	-773236800	14.9
39126	-770558400	10.8
39126	-767880000	5.5
39126	-765288000	-7.1
39126	-762609600	-32.6
39126	-760017600	-38.3
39126	-757339200	-41.5
39126	-754660800	-38.8
39126	-752241600	-24.6
39127	-739022400	9.1
39127	-736344000	-1.2
39128	-731073600	-30.7
39128	-728481600	-39.2
39128	-725803200	-35.6
39128	-723124800	-38.2
39128	-720705600	-22
39128	-718027200	-10.6
39128	-715435200	1.3
39128	-712756800	8.6
39128	-710164800	14.9
39128	-707486400	10.1
39128	-704808000	1
39128	-702216000	-2.4
39128	-699537600	-27.4
39128	-696945600	-29.4
39128	-694267200	-30.5
39128	-691588800	-32.9
39128	-689083200	-21.4
39128	-686404800	-13.7
39128	-683812800	-2.3
39128	-681134400	6.4
39128	-678542400	13.3
39128	-675864000	9.4
39128	-673185600	5.7
39128	-670593600	-4.7
39128	-667915200	-18.3
39128	-665323200	-31.6
39128	-662644800	-29.5
39128	-659966400	-30.7
39128	-657547200	-20.7
39128	-654868800	-9.5
39128	-652276800	-0.7
39128	-649598400	5.6
39128	-647006400	12.2
39128	-644328000	10.2
39128	-641649600	4.2
39128	-639057600	-6.1
39128	-636379200	-31
39128	-633787200	-23.4
39128	-631108800	-41.4
39128	-628430400	-33.6
39128	-626011200	-24.1
39128	-623332800	-14.9
39128	-620740800	0.2
39128	-618062400	9
39128	-615470400	12.9
39128	-612792000	8.3
39128	-610113600	2
39128	-607521600	-10.9
39128	-604843200	-30.7
39128	-602251200	-32.4
39129	-586526400	5.9
39129	-583934400	12.2
39129	-581256000	8.2
39129	-578577600	4.5
39129	-575985600	-7.1
39129	-573307200	-24.3
39129	-570715200	-27.3
39129	-568036800	-36.5
39129	-565358400	-30.6
39129	-562852800	-29.1
39129	-560174400	-15.1
39129	-557582400	-3.6
39129	-554904000	7.1
39129	-552312000	11.3
39129	-549633600	9.1
39129	-546955200	4.8
39129	-544363200	-15.8
39129	-541684800	-30.9
39129	-539092800	-39.4
39130	-515419200	1.8
39130	-512827200	-8.7
39130	-510148800	-25.8
39130	-507556800	-29.7
39130	-504878400	-39.3
39130	-502200000	-36.1
39130	-499780800	-20.7
39130	-497102400	-13.8
39130	-494510400	-5.4
39130	-491832000	10.2
39130	-489240000	13.7
39130	-486561600	13.1
39130	-483883200	-0.5
39130	-481291200	-10.7
39130	-478612800	-24.8
39130	-476020800	-28.2
39130	-473342400	-25.5
39130	-470664000	-38.6
39130	-468244800	-31.5
39130	-465566400	-12.5
