group	x	y
22403	-991483200	25.6
22403	-988804800	20
22403	-986212800	15.5
22403	-983534400	9.1
22403	-980942400	3.8
22403	-978264000	1.1
22403	-975585600	1.9
22403	-973166400	5.4
22403	-970488000	11.5
22403	-967896000	14.9
22403	-965217600	20.3
22403	-962625600	25.8
22403	-959947200	24.9
22403	-957268800	21.6
22403	-954676800	16.1
22403	-951998400	9.8
22403	-949406400	4.7
22403	-946728000	-1.2
22403	-944049600	1.3
22403	-941544000	5.7
22403	-938865600	10.5
22403	-936273600	17.2
22403	-933595200	19.3
22403	-931003200	23
22403	-928324800	23.2
22403	-925646400	19
22403	-923054400	16.3
22403	-920376000	11.2
22403	-917784000	5.7
22403	-915105600	3.1
22403	-912427200	2.5
22403	-910008000	6.6
22403	-907329600	10.4
22403	-904737600	15.4
22403	-902059200	19.1
22403	-899467200	20
22403	-896788800	22.8
22403	-894110400	19
22403	-891518400	15.2
22403	-888840000	11
22403	-886248000	5.9
22403	-883569600	0.5
22403	-880891200	0.8
22403	-878472000	7.5
22403	-875793600	11.6
22403	-873201600	14.7
22403	-870523200	21.2
22403	-867931200	27
22403	-865252800	23.9
22403	-862574400	20.1
22403	-859982400	14.8
22403	-857304000	9.1
22403	-854712000	4
22403	-852033600	0.4
22403	-849355200	2.5
22403	-846936000	5.5
22403	-844257600	10.3
22403	-841665600	15.6
22403	-838987200	19.6
22403	-836395200	22.5
22403	-833716800	25.9
22403	-831038400	20.7
22403	-828446400	15.2
22403	-825768000	9.3
22403	-823176000	5.8
22403	-820497600	2.3
22403	-817819200	1.4
22403	-815313600	5.1
22403	-812635200	9.8
22403	-810043200	15.9
22403	-807364800	20.5
22403	-804772800	24.4
22403	-802094400	25.4
22403	-799416000	20.8
22403	-796824000	15.3
22403	-794145600	10.3
22403	-791553600	0.9
22403	-788875200	-1.6
22403	-786196800	-0.6
22403	-783777600	4.8
22403	-781099200	11.9
22403	-778507200	13.4
22403	-775828800	18.6
22403	-773236800	20.8
22403	-770558400	25
22403	-767880000	20.2
22403	-765288000	14.5
22403	-762609600	10.7
22403	-760017600	3.2
22403	-757339200	2.6
22403	-754660800	2.2
22403	-752241600	3.7
22403	-749563200	12
22403	-746971200	15.2
22403	-744292800	21.1
22403	-741700800	24.2
22403	-739022400	25.3
22403	-736344000	20.7
22403	-733752000	15.5
22403	-731073600	11.5
22403	-728481600	2.2
22403	-725803200	1.5
22403	-723124800	-0.7
22403	-720705600	4
22403	-718027200	11.5
22403	-715435200	15.2
22403	-712756800	16.7
22403	-710164800	21.6
22403	-707486400	24.5
22403	-704808000	19.3
22403	-702216000	13.1
22403	-699537600	7.3
22403	-696945600	0.6
22403	-694267200	1
22403	-691588800	1.9
22403	-689083200	4.1
22403	-686404800	11.9
22403	-683812800	16.6
22403	-681134400	19.5
22403	-678542400	22.8
22403	-675864000	23.9
22403	-673185600	19.9
22403	-670593600	15.7
22403	-667915200	10
22403	-665323200	7.6
22403	-662644800	3
22403	-659966400	3.5
22403	-657547200	4.7
22403	-654868800	10
22403	-652276800	16.9
22403	-649598400	16.8
22403	-647006400	20.8
22403	-644328000	24.9
22403	-641649600	20.4
22403	-639057600	14.7
22403	-636379200	9
22403	-633787200	4.1
22403	-631108800	3.2
22403	-628430400	2
22403	-626011200	5.6
22403	-623332800	11.8
22403	-620740800	17.1
22403	-618062400	18.7
22403	-615470400	23.6
22403	-612792000	24.9
22403	-610113600	19.2
22403	-607521600	14.7
22403	-604843200	9
22403	-602251200	3.2
22403	-599572800	1.4
22403	-596894400	3.4
22403	-594475200	5.5
22403	-591796800	11
22403	-589204800	16.7
22403	-586526400	19.9
22403	-583934400	22.8
22403	-581256000	26.2
22403	-578577600	20
22403	-575985600	15.6
22403	-573307200	9.2
22403	-570715200	6.6
22403	-568036800	2.1
22403	-565358400	0.6
22403	-562852800	5.4
22403	-560174400	11.7
22403	-557582400	16
22403	-554904000	20.1
22403	-552312000	22
22403	-549633600	23.1
22403	-546955200	19.4
22403	-544363200	14.3
22403	-541684800	10.3
22403	-539092800	3.7
22403	-536414400	1
22403	-533736000	2.4
22403	-531316800	6.8
22403	-528638400	10.7
22403	-526046400	15.3
22403	-523368000	18.4
22403	-520776000	22.5
22403	-518097600	23.8
22403	-515419200	20
22403	-512827200	16.6
22403	-510148800	8.3
22403	-507556800	5.8
22403	-504878400	3.3
22403	-502200000	3.9
22403	-499780800	6
22403	-497102400	11.3
22403	-494510400	15.6
22403	-491832000	16.4
22403	-489240000	19.7
22403	-486561600	23.9
22403	-483883200	20.8
22403	-481291200	13.6
22403	-478612800	11.7
22403	-476020800	4.7
22403	-473342400	1.2
22403	-470664000	3.9
22403	-468244800	5.7
