group	x	y
38950	-347112000	-26.9
38950	-344433600	-29.3
38950	-342014400	-19.1
38950	-339336000	-20.8
38950	-336744000	-7.6
38950	-334065600	2.8
38950	-331473600	1.5
38950	-328795200	3.5
38950	-326116800	1
38950	-323524800	-6
38950	-320846400	-13
38950	-318254400	-26.8
38950	-315576000	-26.9
38950	-312897600	-27.6
38950	-310392000	-18.2
38950	-307713600	-20.5
38950	-305121600	-7.4
38950	-302443200	0.7
38950	-299851200	4.5
38950	-297172800	2.8
38950	-294494400	1.2
38950	-291902400	-6.5
38950	-289224000	-17.3
38950	-286632000	-21.3
38950	-283953600	-26
38950	-281275200	-30.1
38950	-278856000	-31.1
38950	-276177600	-21.2
38950	-273585600	-2.4
38950	-270907200	0.1
38950	-268315200	3.2
38950	-265636800	0.9
38950	-262958400	-1.6
38950	-260366400	-11.1
38950	-257688000	-16.1
38950	-255096000	-26
38950	-252417600	-21
38950	-249739200	-24.6
38950	-247320000	-22.8
38950	-244641600	-15
38950	-242049600	-7.3
38950	-239371200	3
38950	-236779200	3.2
38950	-234100800	2.4
38950	-231422400	-3.4
38950	-228830400	-12.8
38950	-226152000	-17.9
38950	-223560000	-23.6
38950	-220881600	-23.5
38950	-218203200	-27.4
38950	-215784000	-27.1
38950	-213105600	-17.5
38950	-210513600	-8
38950	-207835200	0.1
38950	-205243200	2.8
38950	-202564800	0.1
38950	-199886400	-2.2
38950	-197294400	-13.8
38950	-194616000	-19.1
38950	-192024000	-21.2
38950	-189345600	-34.6
38950	-186667200	-32.7
38950	-184161600	-27.4
38950	-181483200	-22.6
38950	-178891200	-8
38950	-176212800	2.2
38950	-173620800	2.4
38950	-170942400	3.1
38950	-168264000	-0.6
38950	-165672000	-8.8
38950	-162993600	-16.7
38950	-160401600	-22.4
38950	-157723200	-25.2
38950	-155044800	-33.9
38950	-152625600	-26.3
38950	-149947200	-18.5
38950	-147355200	-10.7
38950	-144676800	-1.5
38950	-142084800	0.8
38950	-139406400	0.5
38950	-136728000	-3.6
38950	-134136000	-15.1
38950	-131457600	-17.5
38950	-128865600	-29.7
38950	-126187200	-30.4
38950	-123508800	-31.4
38950	-121089600	-27.2
38950	-118411200	-23.6
38950	-115819200	-7.6
38950	-113140800	3.5
38950	-110548800	1.2
38950	-107870400	1.9
38950	-105192000	-0.8
38950	-102600000	-10.8
38950	-99921600	-13.6
38950	-97329600	-20.9
38950	-94651200	-27
38950	-91972800	-30.7
38950	-89553600	-20.2
38950	-86875200	-18.1
