group	x	y
26586	-2279966400	9.1
26586	-2277288000	4.6
26586	-2274696000	1.4
26586	-2272017600	-2.2
26586	-2269339200	-0.1
26586	-2266920000	1.6
26586	-2264241600	3.6
26586	-2261649600	6.5
26586	-2258971200	10.6
26586	-2256379200	15.7
26586	-2253700800	18.9
26586	-2251022400	16
26586	-2248430400	11.1
26586	-2245752000	8.1
26586	-2243160000	2.4
26586	-2240481600	-1.1
26586	-2237803200	-3.2
26586	-2235384000	-0.4
26586	-2232705600	3.1
26586	-2230113600	6.3
26586	-2227435200	11.3
26586	-2224843200	16.5
26586	-2222164800	17.9
26586	-2219486400	15.3
26586	-2216894400	11.3
26586	-2214216000	6.2
26586	-2211624000	3.7
26586	-2208945600	1.6
26586	-2206267200	-0.3
26586	-2203848000	1
26586	-2201169600	4.1
26586	-2198577600	7.2
26586	-2195899200	11.5
26586	-2193307200	16.1
26586	-2190628800	17.1
26586	-2187950400	15.2
26586	-2185358400	11.8
26586	-2182680000	7.9
26586	-2180088000	1.8
26586	-2177409600	-0.6
26586	-2174731200	-1.2
26586	-2172312000	0.3
26586	-2169633600	4.4
26586	-2167041600	8
26586	-2164363200	12.3
26586	-2161771200	16.3
26586	-2159092800	19.4
26586	-2156414400	17
26586	-2153822400	11.6
26586	-2151144000	6.4
26586	-2148552000	3.8
26586	-2145873600	-0.2
26586	-2143195200	0.2
26586	-2140776000	2.7
26586	-2138097600	5.3
26586	-2135505600	7.6
26586	-2132827200	10.5
26586	-2130235200	14
26586	-2127556800	16.9
26586	-2124878400	16.6
26586	-2122286400	11.8
26586	-2119608000	7.3
26586	-2117016000	1.6
26586	-2114337600	-0.3
26586	-2111659200	-1.8
26586	-2109240000	1.6
26586	-2106561600	3.2
26586	-2103969600	6.7
26586	-2101291200	8.7
26586	-2098699200	13.1
26586	-2096020800	15.3
26586	-2093342400	15.1
26586	-2090750400	10.7
26586	-2088072000	7.6
26586	-2085480000	2.6
26586	-2082801600	-2.5
26586	-2080123200	-4
26586	-2077617600	-1.5
26586	-2074939200	2.3
26586	-2072347200	7
26586	-2069668800	10.4
26586	-2067076800	17.8
26586	-2064398400	18.3
26586	-2061720000	15.4
26586	-2059128000	11.1
26586	-2056449600	6.2
26586	-2053857600	-1.1
26586	-2051179200	-2
26586	-2048500800	-2.6
26586	-2046081600	-1
26586	-2043403200	3
26586	-2040811200	6
26586	-2038132800	10
26586	-2035540800	15.3
26586	-2032862400	15.5
26586	-2030184000	13.6
26586	-2027592000	9.9
26586	-2024913600	6.2
26586	-2022321600	2.4
26586	-2019643200	0.5
26586	-2016964800	0.2
26586	-2014545600	-0.7
