group	x	y
11525	-504878400	22.9
11525	-502200000	22.5
11525	-499780800	23.7
11525	-497102400	25.3
11525	-494510400	24.9
11525	-491832000	24.4
11525	-489240000	24.1
11525	-486561600	24.1
11525	-483883200	23.4
11525	-481291200	22.5
11525	-478612800	21.5
11525	-476020800	20.4
11525	-473342400	19.3
11525	-470664000	22.1
11525	-468244800	24.3
11525	-465566400	25.5
11525	-462974400	25.2
11525	-460296000	23.7
11525	-457704000	24.2
11525	-455025600	23.7
11525	-452347200	23.6
11525	-449755200	22.3
11525	-447076800	21.6
11525	-444484800	19.9
11525	-441806400	20
11525	-439128000	22.8
11525	-436622400	24.6
11525	-433944000	25
11525	-431352000	24.3
11525	-428673600	23.7
11525	-426081600	23.5
11525	-423403200	23.4
11525	-420724800	23
11525	-418132800	22.6
11525	-415454400	21.1
11525	-412862400	20
11525	-410184000	21
11525	-407505600	21.8
11525	-405086400	24
11525	-402408000	25.8
11525	-399816000	25.6
11525	-397137600	24.8
11525	-394545600	24.1
11525	-391867200	23.8
11525	-389188800	23.3
11525	-386596800	23.2
11525	-383918400	22.2
11525	-381326400	22
11525	-378648000	22.1
11525	-375969600	22.5
11525	-373550400	26
11525	-370872000	26.5
11525	-368280000	26.6
11525	-365601600	25.3
11525	-363009600	24.1
11525	-360331200	24
11525	-357652800	23.7
11525	-355060800	22.8
11525	-352382400	21.3
11525	-349790400	20.3
11525	-347112000	20.8
11525	-344433600	24.5
11525	-342014400	24.3
11525	-339336000	25.8
11525	-336744000	25.1
11525	-334065600	24.9
11525	-331473600	23.4
11525	-328795200	23.6
11525	-326116800	23.7
11525	-323524800	22.6
11525	-320846400	21.9
11525	-318254400	21.5
11525	-315576000	20.4
11525	-312897600	20.7
11525	-310392000	25.1
11525	-307713600	26
11525	-305121600	25
11525	-302443200	24.2
11525	-299851200	24
11525	-297172800	24.2
11525	-294494400	23.3
11525	-291902400	22.9
11525	-289224000	22.3
11525	-286632000	20.6
11526	-2261649600	28.6
11526	-2258971200	29.4
11526	-2256379200	28.6
11526	-2253700800	29.4
11526	-2251022400	28.4
11526	-2248430400	27.3
11526	-2245752000	25.6
11526	-2243160000	24.1
11526	-2240481600	23.8
11526	-2237803200	24.2
11526	-2235384000	25.8
11526	-2232705600	27.1
11526	-2230113600	28.4
11526	-2227435200	27.9
11526	-2224843200	29.6
11526	-2222164800	28.8
11526	-2219486400	28.5
11526	-2216894400	26.6
11526	-2214216000	25.3
11526	-2211624000	24.6
11526	-2208945600	24.7
11526	-2206267200	24.7
11526	-2203848000	26.1
11526	-2201169600	27.2
11526	-2198577600	27.8
11526	-2195899200	28.4
11526	-2193307200	27.9
11526	-2190628800	28.4
11526	-2187950400	27.5
11526	-2185358400	26.9
11526	-2182680000	25.7
11526	-2180088000	24.9
11526	-2177409600	25.2
11526	-2174731200	24.6
11526	-2172312000	25.5
11526	-2169633600	27.2
11526	-2167041600	28.5
11526	-2164363200	28.8
