group	x	y
25873	-1370174400	25.1
25873	-1367496000	17.9
25873	-1364904000	10.7
25873	-1362225600	1.6
25874	-1356955200	-10.9
25874	-1354276800	-6.6
25874	-1351857600	-0.4
25874	-1349179200	13.8
25874	-1346587200	20.5
25874	-1343908800	25.2
25875	-1338638400	24
25875	-1335960000	18.6
25875	-1333368000	14.4
25875	-1330689600	2.2
25875	-1328097600	-6.8
25875	-1325419200	-12.7
25875	-1322740800	-5.7
25875	-1320235200	-2.2
25875	-1317556800	10.7
25875	-1314964800	20.4
25875	-1312286400	24.6
25875	-1309694400	25.4
25875	-1307016000	22.3
25875	-1304337600	16.9
25875	-1301745600	8.9
25875	-1299067200	3.6
25875	-1296475200	-5.5
25875	-1293796800	-11.4
25875	-1291118400	-12.4
25875	-1288699200	0.8
25875	-1286020800	14.2
25875	-1283428800	18.8
25875	-1280750400	23
25875	-1278158400	26.8
25875	-1275480000	23.5
25875	-1272801600	18.2
25875	-1270209600	9.2
25875	-1267531200	1.4
25875	-1264939200	-13.8
25875	-1262260800	-8.7
25875	-1259582400	-8.4
25875	-1257163200	5.1
25875	-1254484800	11.3
25875	-1251892800	20.3
25875	-1249214400	25
25875	-1246622400	28
25875	-1243944000	24.6
25875	-1241265600	16.2
25875	-1238673600	9
25875	-1235995200	4.5
25875	-1233403200	-6.1
25875	-1230724800	-10.6
25875	-1228046400	-17.3
25875	-1225627200	2.6
25875	-1222948800	12.2
25875	-1220356800	18.6
25875	-1217678400	24.1
25875	-1215086400	28.5
25875	-1212408000	24.2
25875	-1209729600	20.2
25875	-1207137600	10.8
25875	-1204459200	0.2
25875	-1201867200	-5.3
25875	-1199188800	-5.7
25875	-1196510400	-0.8
25875	-1194004800	2.9
25875	-1191326400	16.6
25875	-1188734400	20.4
25875	-1186056000	24
25875	-1183464000	25.9
25875	-1180785600	23.3
25875	-1178107200	18.1
25875	-1175515200	9.2
25875	-1172836800	0.6
25875	-1170244800	-6.3
25875	-1167566400	-7.3
25875	-1164888000	-6
25875	-1162468800	-1.1
25875	-1159790400	13.6
25875	-1157198400	21
25875	-1154520000	22.5
25875	-1151928000	27.2
25875	-1149249600	25
25875	-1146571200	17.2
25875	-1143979200	8.5
25875	-1141300800	3.4
25875	-1138708800	-3.7
25875	-1136030400	-12.8
25875	-1133352000	-1
25875	-1130932800	3.5
25875	-1128254400	9.7
25875	-1125662400	17
25875	-1122984000	24.1
25875	-1120392000	25.8
25875	-1117713600	24.5
25875	-1115035200	15.7
25875	-1112443200	9.1
25875	-1109764800	0.9
25875	-1107172800	-4.8
25875	-1104494400	-9.2
25875	-1101816000	-0.8
25875	-1099396800	2.5
25875	-1096718400	14.6
25875	-1094126400	20.2
25875	-1091448000	21.8
25875	-1088856000	27.1
25875	-1086177600	26.3
25875	-1083499200	17.6
25875	-1080907200	13.8
25875	-1078228800	-2
25875	-1075636800	-5.8
25875	-1072958400	-6.9
25875	-1070280000	-4.6
25875	-1067774400	-1.5
25875	-1065096000	12
25875	-1062504000	18.9
25875	-1059825600	25.1
25875	-1057233600	25.7
25875	-1054555200	23.8
25875	-1051876800	18
25875	-1049284800	12.5
25875	-1046606400	4
25875	-1044014400	-2.5
25875	-1041336000	-7.9
25875	-1038657600	-4
25875	-1036238400	0.7
25875	-1033560000	9.3
25875	-1030968000	18.4
25875	-1028289600	24.1
25875	-1025697600	27.7
25875	-1023019200	25.6
25875	-1020340800	20.1
25875	-1017748800	12.2
25875	-1015070400	0.3
25875	-1012478400	-4.9
25875	-1009800000	-2.1
25875	-1007121600	-1.1
25875	-1004702400	2
25875	-1002024000	14.6
25875	-999432000	20.5
25875	-996753600	23.2
25875	-994161600	24.2
25875	-991483200	24.4
25875	-988804800	18
25875	-986212800	10.4
25875	-983534400	3.8
25875	-980942400	-8.2
25875	-978264000	-7.9
25875	-975585600	-2.5
25875	-973166400	3.4
25875	-970488000	10.4
25875	-967896000	20.8
25875	-965217600	26.9
25875	-962625600	26.9
25875	-959947200	23.2
25875	-957268800	17.2
25875	-954676800	8.4
25875	-951998400	2.7
25875	-949406400	0.5
25875	-946728000	-6.2
25875	-944049600	-6.4
25875	-941544000	3.5
25875	-938865600	15.2
25875	-936273600	16.4
25875	-933595200	24.2
25875	-931003200	27.4
25875	-928324800	25.5
25875	-925646400	19.5
25875	-923054400	10.8
25875	-920376000	3.9
25875	-917784000	0.7
25875	-915105600	-5.6
25875	-912427200	0.2
25875	-910008000	5.6
25875	-907329600	13.5
25875	-904737600	20
25875	-902059200	25.5
25875	-899467200	24.9
25875	-896788800	24.2
25875	-894110400	18.9
