group	x	y
37050	84196800	1.7
37050	86788800	-5
37050	89467200	-13.4
37050	92059200	-26.3
37050	94737600	-20.2
37050	97416000	-22
37050	99835200	-7.9
37050	102513600	-4
37050	105105600	8.8
37050	107784000	11.1
37050	110376000	16.8
37050	113054400	15.9
37050	115732800	7.7
37050	118324800	1.2
37050	121003200	-14.6
37050	123595200	-22.6
37050	126273600	-29.7
37050	128952000	-22.5
37050	131371200	-20.5
37050	134049600	-2.5
37050	136641600	3.9
37050	139320000	11.8
37050	141912000	15.6
37051	-557582400	7.8
37051	-554904000	11.1
37051	-552312000	13.6
37051	-549633600	11.9
37051	-546955200	6.3
37051	-544363200	-0.6
37051	-541684800	-11.1
37051	-539092800	-16.4
37051	-536414400	-27.5
37051	-533736000	-18.4
37051	-531316800	-14.9
37051	-528638400	-6.5
37051	-526046400	3.3
37051	-523368000	9.3
37051	-520776000	14.9
37051	-518097600	15.8
37051	-515419200	6.5
37051	-512827200	1
37051	-510148800	-6.7
37051	-507556800	-24.1
37051	-504878400	-33.3
37051	-502200000	-17.9
37051	-499780800	-16.6
37051	-497102400	-11.4
37051	-494510400	3.6
37051	-491832000	12.2
37051	-489240000	16.6
37051	-486561600	13.5
37051	-483883200	6.9
37051	-481291200	0.8
37051	-478612800	-7.7
37051	-476020800	-15
37051	-473342400	-25.7
37051	-470664000	-24.9
37051	-468244800	-21.7
37051	-465566400	-0.3
37051	-462974400	7
37051	-460296000	15.2
37051	-457704000	16.5
37051	-455025600	15.4
37051	-452347200	7.9
37051	-449755200	0.9
37052	-1272801600	6.9
37052	-1270209600	4.9
37052	-1267531200	-10
37052	-1264939200	-21.6
37052	-1262260800	-27
37052	-1259582400	-20.1
37052	-1257163200	-12.4
37052	-1254484800	0.2
37052	-1251892800	6.7
37052	-1249214400	15.7
37052	-1246622400	18.4
37052	-1243944000	17.8
37053	-1009800000	-22.8
37053	-1007121600	-21.2
37053	-1004702400	-8.6
37053	-1002024000	-6.9
37053	-999432000	2.8
37053	-996753600	9.3
37053	-994161600	12.6
37053	-991483200	10.6
37053	-988804800	8.8
37053	-986212800	3.1
37053	-983534400	-11.6
37053	-980942400	-16.2
37053	-978264000	-25
37053	-975585600	-29.9
37053	-973166400	-16.4
37053	-970488000	-2.1
37053	-967896000	6.9
37053	-965217600	10.6
37053	-962625600	16.2
37053	-959947200	15.5
37053	-957268800	7.4
37053	-954676800	-3.2
37053	-951998400	-8
37053	-949406400	-11.5
37053	-946728000	-22.3
37053	-944049600	-19.1
37053	-941544000	-11.4
37053	-938865600	-2.2
37054	-662644800	-26
37054	-659966400	-29.9
37054	-657547200	-15.9
37054	-654868800	-2.4
37054	-652276800	3
37054	-649598400	8.2
37054	-647006400	13.8
37054	-644328000	14.7
37054	-641649600	5.7
37054	-639057600	-2.6
37054	-636379200	-10.8
37054	-633787200	-25.8
37054	-631108800	-37.8
37054	-628430400	-25.2
37054	-626011200	-18.9
37054	-623332800	-7.3
37054	-620740800	3.4
37054	-618062400	8.3
37054	-615470400	14.3
37054	-612792000	11.8
37054	-610113600	8.6
37054	-607521600	-2.2
37054	-604843200	-15.1
37054	-602251200	-25.7
37054	-599572800	-28.3
37054	-596894400	-24
37054	-594475200	-19.2
37054	-591796800	-6
37054	-589204800	3.4
37054	-586526400	9.7
37054	-583934400	14.6
37054	-581256000	14.3
37054	-578577600	6.9
37054	-575985600	-3.1
37054	-573307200	-16.1
37054	-570715200	-25.4
37054	-568036800	-29.8
37054	-565358400	-23.4
37054	-562852800	-14.3
37054	-560174400	0.2
37054	-557582400	7.6
37054	-554904000	12.4
37054	-552312000	14.4
37054	-549633600	12.4
37054	-546955200	7.3
37054	-544363200	-0.6
37054	-541684800	-11.2
37054	-539092800	-16.6
37054	-536414400	-28.9
37054	-533736000	-18.3
37054	-531316800	-15.8
37054	-528638400	-7.8
37054	-526046400	2.4
37054	-523368000	9
37054	-520776000	14.7
37054	-518097600	16.9
37054	-515419200	7
37054	-512827200	1.7
37054	-510148800	-5.9
37054	-507556800	-23.8
37054	-504878400	-34.2
37054	-502200000	-18.1
37054	-499780800	-18.1
37054	-497102400	-12.5
37054	-494510400	2.7
37054	-491832000	12.2
37054	-489240000	18
37054	-486561600	15
37054	-483883200	8.3
37054	-481291200	1.2
37054	-478612800	-8.4
37054	-476020800	-17.2
37054	-473342400	-27.3
37054	-470664000	-25.7
37054	-468244800	-23.3
37054	-465566400	-2.6
37054	-462974400	5.4
37054	-460296000	14.4
37054	-457704000	16.5
37054	-455025600	15.8
37054	-452347200	6.7
37054	-449755200	1.2
37054	-447076800	-14.8
37054	-444484800	-25.4
37054	-441806400	-26.2
37054	-439128000	-25.8
37054	-436622400	-18.1
37054	-433944000	-8
37054	-431352000	0.9
37054	-428673600	12.4
37054	-426081600	16
37054	-423403200	13.4
37054	-420724800	4.7
37054	-418132800	-0.3
