group	x	y
15456	-788875200	23.6
15456	-786196800	25.6
15456	-783777600	26.7
15456	-781099200	27.6
15456	-778507200	27.7
15456	-775828800	27.2
15456	-773236800	28.1
15456	-770558400	27.3
15456	-767880000	26.8
15456	-765288000	26.7
15456	-762609600	24.4
15456	-760017600	24.4
15456	-757339200	25.4
15456	-754660800	25.6
15456	-752241600	25.2
15456	-749563200	27
15456	-746971200	28.2
15456	-744292800	27.7
15456	-741700800	26.9
15456	-739022400	27.6
15456	-736344000	27.6
15456	-733752000	26.4
15456	-731073600	26.7
15456	-728481600	24.1
15456	-725803200	25.6
15456	-723124800	23.9
15456	-720705600	25.7
15456	-718027200	28.2
15456	-715435200	27.6
15456	-712756800	27.8
15456	-710164800	28.1
15456	-707486400	28
15456	-704808000	28.2
15456	-702216000	27.8
15456	-699537600	27.5
15456	-696945600	25
15456	-694267200	24.5
15456	-691588800	24.7
15456	-689083200	25.2
15456	-686404800	26.4
15456	-683812800	27.6
15456	-681134400	27.7
15456	-678542400	27.7
15456	-675864000	28.4
15456	-673185600	27.6
15456	-670593600	26.6
15456	-667915200	25.6
15456	-665323200	23.4
15456	-662644800	24.5
15456	-659966400	22
15456	-657547200	26.3
15456	-654868800	27.7
15456	-652276800	27.1
15456	-649598400	28.3
15456	-647006400	28.3
15456	-644328000	28.2
15456	-641649600	27.7
15456	-639057600	26.7
15456	-636379200	21.4
15456	-633787200	22.6
15456	-631108800	23.3
15456	-628430400	23.6
15456	-626011200	23.8
15456	-623332800	25.3
15456	-620740800	27.1
15456	-618062400	27.2
15456	-615470400	27.3
15456	-612792000	26.9
15456	-610113600	26.7
15456	-607521600	27.1
15456	-604843200	24.3
15456	-602251200	22.8
15457	-283953600	24.7
15457	-281275200	26
15458	-344433600	23.9
15458	-342014400	23.9
15458	-339336000	25
15458	-336744000	25.8
15458	-334065600	26.7
15458	-331473600	26.1
15458	-328795200	26.1
15458	-326116800	25.6
15458	-323524800	25.3
15458	-320846400	23.1
15458	-318254400	21.4
15458	-315576000	21.4
15458	-312897600	22.5
15458	-310392000	22.5
15458	-307713600	25
15458	-305121600	26.9
15458	-302443200	26.4
15458	-299851200	25.8
15458	-297172800	26.7
15458	-294494400	25.8
15458	-291902400	26.1
15458	-289224000	23.3
15458	-286632000	23.6
15458	-283953600	23.3
15458	-281275200	23.9
15458	-278856000	26.7
15458	-276177600	26.1
15458	-273585600	26.1
15458	-270907200	26.1
15458	-268315200	24.4
15458	-265636800	25
15458	-262958400	25
15458	-260366400	22.8
15458	-257688000	22.8
15458	-255096000	21.7
15458	-252417600	20.6
15458	-249739200	21.7
15458	-247320000	22.8
15458	-244641600	23.9
15458	-242049600	21.1
15458	-239371200	25
15458	-236779200	25
15458	-234100800	23.3
15458	-231422400	26.1
15458	-228830400	24.4
15458	-226152000	23.3
15458	-223560000	23.9
15458	-220881600	22.8
15458	-218203200	22.8
15458	-215784000	22.8
15458	-213105600	26.1
15458	-210513600	22.8
15458	-207835200	25
15458	-205243200	24.4
15458	-202564800	23.9
15458	-199886400	23.3
15458	-197294400	23.9
15458	-194616000	22.8
15458	-192024000	22.8
15458	-189345600	21.7
15458	-186667200	23.3
15458	-184161600	20
15458	-181483200	26.7
15458	-178891200	27.8
15458	-176212800	27.2
15458	-173620800	26.1
15458	-170942400	26.1
15458	-168264000	25
15458	-165672000	23.9
15458	-162993600	22.8
15458	-160401600	23.9
15458	-157723200	22.8
15458	-155044800	23.9
15458	-152625600	25
15458	-149947200	25
15458	-147355200	26.1
15458	-144676800	27.2
15458	-142084800	26.7
15458	-139406400	25
15458	-136728000	25
15458	-134136000	24.4
15458	-131457600	25
15458	-128865600	22.8
15458	-126187200	21.7
15458	-123508800	23.3
15458	-121089600	22.8
15458	-118411200	26.1
15458	-115819200	27.2
15458	-113140800	27.2
15458	-110548800	26.1
15458	-107870400	25.6
15458	-105192000	26.1
15458	-102600000	25
15458	-99921600	22.8
15458	-97329600	21.7
15458	-94651200	21.7
15458	-91972800	22.8
15458	-89553600	23.9
15458	-86875200	25
15458	-84283200	27.2
15458	-81604800	27.2
15458	-79012800	26.1
15458	-76334400	26.7
15458	-73656000	27.2
15458	-71064000	25
15458	-68385600	23.3
15458	-65793600	23.9
15458	-63115200	21.7
15458	-60436800	23.9
15458	-57931200	21.7
15458	-55252800	25
15458	-52660800	26.7
15458	-49982400	26.7
15458	-47390400	26.1
15458	-44712000	26.1
15458	-42033600	26.1
15458	-39441600	26.1
15458	-36763200	23.3
15458	-34171200	22.8
15458	-31492800	23.3
15458	-28814400	23.3
15458	-26395200	25
15458	-23716800	26.7
15458	-21124800	27.2
15458	-18446400	27.8
15458	-15854400	27.2
15458	-13176000	26.1
15458	-10497600	26.1
15458	-7905600	25.6
15458	-5227200	23.9
15458	-2635200	22.8
15458	43200	22.2
15458	2721600	21.1
15458	5140800	25
15458	7819200	27.2
15458	10411200	26.1
15458	13089600	28.3
15458	15681600	26.1
15458	18360000	27.2
15458	21038400	27.2
15458	23630400	26.1
15458	26308800	21.7
15458	28900800	22.8
15458	31579200	22.8
15458	34257600	22.8
15458	36676800	23.9
15458	39355200	25
15458	41947200	27.2
15458	44625600	26.1
15458	47217600	25
15458	49896000	26.1
15458	52574400	27.2
15458	55166400	26.1
15458	57844800	25
15458	60436800	24.4
15458	63115200	23.9
15458	65793600	22.2
15458	68299200	25.6
15458	70977600	26.7
15458	73569600	27.2
15458	76248000	28.3
15458	78840000	26.7
15458	81518400	26.1
15458	84196800	26.7
15458	86788800	26.1
15458	89467200	25.6
15458	92059200	23.9
15459	-1154520000	27.2
15459	-1151928000	28.1
15459	-1149249600	26.9
15459	-1146571200	27.2
15459	-1143979200	26.4
15459	-1141300800	23.6
15459	-1138708800	23.6
15459	-1136030400	23.6
15459	-1133352000	23.3
15459	-1130932800	23.6
15459	-1128254400	26.1
15459	-1125662400	27.2
15459	-1122984000	27.8
15459	-1120392000	27.2
15459	-1117713600	27.8
15459	-1115035200	27.8
15459	-1112443200	26.7
15459	-1109764800	25
15459	-1107172800	23.9
15459	-1104494400	22.8
15459	-1101816000	22.5
15459	-1099396800	24.4
15459	-1096718400	26.9
15459	-1094126400	28.1
15459	-1091448000	28.6
15459	-1088856000	27.5
15459	-1086177600	26.7
15459	-1083499200	25.8
15459	-1080907200	25.8
15459	-1078228800	24.7
15459	-1075636800	22.8
15459	-1072958400	24.2
15459	-1070280000	24.4
15459	-1067774400	24.2
15459	-1065096000	25.8
15459	-1062504000	25.8
15459	-1059825600	26.1
15459	-1057233600	26.7
15459	-1054555200	27.5
15459	-1051876800	26.9
15459	-1049284800	25.3
15459	-1046606400	24.2
15459	-1044014400	23.1
15459	-1041336000	24.4
15459	-1038657600	24.2
15459	-1036238400	25
15459	-1033560000	26.1
15459	-1030968000	26.7
15459	-1028289600	26.4
15459	-1025697600	26.1
15459	-1023019200	26.7
15459	-1020340800	26.9
15459	-1017748800	25.8
15459	-1015070400	23.6
15459	-1012478400	23.1
15459	-1009800000	22.8
15459	-1007121600	23.3
15459	-1004702400	24.4
15459	-1002024000	25.3
15459	-999432000	26.9
15460	-473342400	24.4
15460	-470664000	21.1
15460	-468244800	23.1
15460	-465566400	23.3
15460	-462974400	26.9
15460	-460296000	25.3
15460	-457704000	25
15460	-455025600	25.8
15460	-452347200	26.1
15460	-449755200	26.1
15460	-447076800	24.2
15460	-444484800	22.8
15460	-441806400	18.9
15460	-439128000	23.1
15460	-436622400	21.1
15460	-433944000	23.9
15460	-431352000	25.3
15460	-428673600	25.3
15460	-426081600	25.3
15460	-423403200	25.6
15460	-420724800	25.6
15460	-418132800	24.7
15460	-415454400	22.2
15460	-412862400	22.5
15460	-410184000	23.9
15460	-407505600	23.6
15460	-405086400	25
15460	-402408000	26.4
15460	-399816000	27.2
15460	-397137600	27.5
15460	-394545600	26.9
15460	-391867200	27.2
15460	-389188800	25.8
15460	-386596800	25
15460	-383918400	20.8
15460	-381326400	18.3
15460	-378648000	18.9
15460	-375969600	21.4
15460	-373550400	26.7
15460	-370872000	26.7
15460	-368280000	27.2
15460	-365601600	26.1
15460	-363009600	26.4
15460	-360331200	26.9
15460	-357652800	27.2
15460	-355060800	26.7
15460	-352382400	26.4
15460	-349790400	24.2
15460	-347112000	23.6
15460	-344433600	24.4
15460	-342014400	24.7
15460	-339336000	25.8
15460	-336744000	25.3
15460	-334065600	25.3
15460	-331473600	26.3
15460	-328795200	25.6
15460	-326116800	25.6
15460	-323524800	25.3
15460	-320846400	24.7
15460	-318254400	25
15461	-568036800	24.6
15461	-565358400	24.4
15462	41947200	26.7
15462	44625600	26.2
15462	47217600	26.1
15462	49896000	26
15462	52574400	26.2
15462	55166400	25.3
15462	57844800	24.2
15462	60436800	23.6
15462	63115200	23.4
15462	65793600	23.1
15462	68299200	23.9
15462	70977600	26
15462	73569600	27.1
15462	76248000	27.5
15462	78840000	26.6
15462	81518400	25.5
15462	84196800	25.7
15462	86788800	25.1
15462	89467200	25.4
15462	92059200	22.8
15462	94737600	22.4
15462	97416000	23
15462	99835200	25.6
15462	102513600	27.8
15462	105105600	27.2
15462	107784000	27.1
15462	110376000	28.1
15462	113054400	28.4
15462	115732800	27
15462	118324800	25.5
15462	121003200	24.8
15462	123595200	21.9
15462	126273600	23.5
15462	128952000	22.5
15462	131371200	24.5
15462	134049600	25.6
15462	136641600	27
15462	139320000	28
15462	141912000	26.1
15462	144590400	26
15462	147268800	25.9
15462	149860800	24
15462	152539200	24.3
15462	155131200	23.3
15462	157809600	23.1
15462	160488000	25
15462	162907200	26.7
15462	165585600	27.9
15462	168177600	29.1
15462	170856000	29
15462	173448000	28.2
15462	176126400	27.9
15462	178804800	27
15462	181396800	26
15462	184075200	24.6
15462	186667200	23.5
15462	189345600	22.7
15462	192024000	22.9
15462	194529600	25.7
15462	197208000	26.2
15462	199800000	28
15462	202478400	26.1
15462	205070400	27.6
15462	207748800	27.8
15462	210427200	27.8
15462	213019200	26.5
15462	215697600	24.7
15462	218289600	23.9
15462	220968000	24.1
15462	223646400	24.5
15462	226065600	26.7
15462	228744000	26.3
15462	231336000	27.8
15462	234014400	28.1
15462	236606400	28.1
15462	239284800	29
15462	241963200	28.6
15462	244555200	27.6
15462	247233600	25.9
15462	249825600	25.6
15462	252504000	24.3
15462	255182400	24.4
15462	257601600	25.7
