group	x	y
46635	-1412251200	21.6
46635	-1409659200	15.4
46635	-1406980800	14
46635	-1404388800	11.4
46635	-1401710400	13
46635	-1399032000	15.3
46635	-1396440000	17
46635	-1393761600	25.3
46635	-1391169600	24.7
46635	-1388491200	29
46635	-1385812800	26.1
46635	-1383393600	24.3
46635	-1380715200	20.4
46635	-1378123200	15.1
46635	-1375444800	12.6
46635	-1372852800	11.4
46635	-1370174400	12
46635	-1367496000	17.3
46635	-1364904000	20.4
46635	-1362225600	25.5
46636	-946728000	24.7
46636	-944049600	27.1
46636	-941544000	23.4
46636	-938865600	19
46636	-936273600	14.9
46636	-933595200	15.6
46636	-931003200	12.5
46636	-928324800	13.8
46636	-925646400	15.8
46636	-923054400	18.1
46636	-920376000	22.1
46636	-917784000	23.3
46636	-915105600	27.1
46636	-912427200	27.2
46636	-910008000	23.3
46636	-907329600	19.8
46636	-904737600	17.6
46636	-902059200	13.6
46636	-899467200	12.4
46636	-896788800	13.6
46636	-894110400	13.7
46636	-891518400	16.9
46636	-888840000	20.5
46636	-886248000	25.7
46636	-883569600	26.3
46636	-880891200	26.4
46636	-878472000	23.2
46636	-875793600	20.1
46636	-873201600	15.5
46636	-870523200	12.6
46636	-867931200	11.2
46636	-865252800	13.1
46636	-862574400	14.3
46636	-859982400	16.7
46636	-857304000	22.5
46636	-854712000	24.9
46636	-852033600	25.5
46636	-849355200	26
46636	-846936000	24.6
46636	-844257600	20.4
46636	-841665600	17
46636	-838987200	14.1
46636	-836395200	10.9
46636	-833716800	12.4
46636	-831038400	14.5
46636	-828446400	17.8
46636	-825768000	21.2
46636	-823176000	24.7
46636	-820497600	28.2
46636	-817819200	26.6
46636	-815313600	23.4
46636	-812635200	20.6
46636	-810043200	14.7
46636	-807364800	13.4
46636	-804772800	13.1
46636	-802094400	13.9
46636	-799416000	15.3
46636	-796824000	20
46636	-794145600	22.5
46636	-791553600	21.4
46636	-788875200	26.1
46636	-786196800	27.3
46636	-783777600	24.7
46636	-781099200	22.7
46636	-778507200	17.1
46636	-775828800	14.4
46636	-773236800	12.2
46636	-770558400	13.2
46636	-767880000	14
46636	-765288000	17.9
46636	-762609600	21
46636	-760017600	23.8
46636	-757339200	24.8
46636	-754660800	24.9
