group	x	y
3937	-252417600	27.8
3937	-249739200	27.7
3937	-247320000	27.2
3937	-244641600	26.9
3937	-242049600	26.6
3937	-239371200	26.3
3937	-236779200	26.4
3937	-234100800	26.4
3937	-231422400	26.8
3937	-228830400	27.2
3937	-226152000	27.2
3937	-223560000	27.1
3937	-220881600	27.3
3937	-218203200	27.5
3937	-215784000	27.4
3937	-213105600	27.1
3937	-210513600	27.1
3937	-207835200	26.5
3937	-205243200	25.9
3937	-202564800	26.2
3937	-199886400	26.5
3937	-197294400	26.4
3937	-194616000	26.9
3937	-192024000	27.4
3937	-189345600	27.8
3937	-186667200	27.6
3937	-184161600	27.3
3937	-181483200	27.2
3937	-178891200	27.1
3937	-176212800	26.5
3937	-173620800	26.2
3937	-170942400	26.3
3937	-168264000	26.7
3937	-165672000	26.8
3937	-162993600	27.4
3937	-160401600	27.3
3937	-157723200	26.8
3937	-155044800	26.8
3937	-152625600	26.9
3937	-149947200	26.7
3937	-147355200	26.7
3937	-144676800	26
3937	-142084800	24.9
3937	-139406400	25.7
3937	-136728000	26.1
3937	-134136000	26.3
3937	-131457600	26.7
3937	-128865600	27.5
3937	-126187200	27.1
3937	-123508800	27.4
3937	-121089600	27.1
3937	-118411200	27.1
3937	-115819200	26.8
3937	-113140800	26.3
3937	-110548800	25.6
3937	-107870400	26
3937	-105192000	26.5
3937	-102600000	26.7
3937	-99921600	27
3937	-97329600	27.3
3937	-94651200	26.9
3937	-91972800	27
3937	-89553600	26.8
3937	-86875200	26.9
3937	-84283200	26.7
3937	-81604800	26.5
3937	-79012800	26.4
3937	-76334400	26.4
3937	-73656000	26.6
3937	-71064000	26.6
3937	-68385600	26.6
3937	-65793600	27.3
3937	-63115200	26.8
3937	-60436800	26.7
3937	-57931200	27.1
3937	-55252800	26.8
3937	-52660800	26.7
3937	-49982400	26.4
3937	-47390400	26
3938	-36763200	26.9
3938	-34171200	27.3
3938	-31492800	27.1
3938	-28814400	27.1
3938	-26395200	27.6
3938	-23716800	27.5
3938	-21124800	27.6
3938	-18446400	27.1
3938	-15854400	26.7
3938	-13176000	26.2
3938	-10497600	26.5
3938	-7905600	26.9
3938	-5227200	27.5
3938	-2635200	27.5
3938	43200	27.5
3938	2721600	27.3
